 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Masc
Período:2018
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"A04   Outr infecc intestinais bacter";-;-;3;1;-;-;-;-;1;-;2;1;2;2;7;1;4;7;7;17;-;55
"A05   Outr intox alimentares bacter NCOP";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A06   Amebiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;2;3;-;9
"A09   Diarreia e gastroenterite orig infecc presum";-;-;13;5;2;-;1;1;2;3;2;5;4;12;9;17;15;41;40;113;-;285
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;3;7;4;12;10;7;13;16;15;19;10;6;7;2;131
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;1;-;3;11;16;20;32;45;52;64;65;56;39;23;27;18;7;479
"A17   Tuberc do sist nervoso";-;-;-;-;1;-;1;2;-;1;3;1;-;4;1;1;1;-;-;-;-;16
"A18   Tuberc de outr orgaos";-;-;-;-;-;1;-;1;1;2;-;1;1;-;1;2;2;3;1;1;-;17
"A19   Tuberc miliar";-;-;-;-;-;-;-;5;7;3;6;8;11;8;7;8;5;7;2;1;-;78
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"A22   Carbunculo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A25   Febres transm p/mordedura de rato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
"A27   Leptospirose";-;-;-;-;-;2;1;3;3;3;4;4;7;4;7;9;2;2;1;1;-;53
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;2;-;8
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;6;1;3;9;10;-;34
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;4
"A37   Coqueluche";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A39   Infecc meningogocica";-;-;5;9;-;2;2;1;2;-;1;1;1;1;1;2;-;-;1;1;-;30
"A40   Septicemia estreptococica";-;-;-;-;1;-;-;-;-;-;-;1;-;2;-;-;3;-;2;9;-;18
"A41   Outr septicemias";-;-;44;11;5;8;11;18;20;11;28;36;61;92;108;140;137;190;198;447;2;1567
"A42   Actinomicose";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;2;-;6
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;1;3;4;14;20;16;23;22;25;52;-;180
"A48   Outr doenc bacter NCOP";-;-;-;1;-;-;-;-;-;-;1;1;-;3;1;4;2;1;6;19;-;39
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;3;1;5;-;14
"A50   Sifilis congen";9;3;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"A51   Sifilis precoce";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;3;2;-;-;10
