 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Masc
Período:2016
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A04   Outr infecc intestinais bacter";-;-;2;1;-;-;-;-;-;-;1;-;1;2;1;3;2;1;10;13;-;37
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A06   Amebiase";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;2;1;1;2;-;10
"A08   Infecc intestinais virais outr e as NE";-;-;1;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;2;2;-;9
"A09   Diarreia e gastroenterite orig infecc presum";1;2;20;7;-;1;-;-;1;3;3;6;3;14;12;14;13;33;25;78;-;236
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;1;3;4;6;6;6;11;7;17;18;9;5;4;5;2;104
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;1;3;8;16;22;35;63;60;75;67;51;34;18;30;30;12;525
"A17   Tuberc do sist nervoso";-;-;-;1;-;-;1;-;-;2;1;-;2;3;1;1;-;-;1;-;-;13
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;1;1;-;2;-;1;1;3;-;2;-;-;11
"A19   Tuberc miliar";-;-;-;-;-;-;-;1;2;3;5;-;7;9;5;5;-;1;1;1;-;40
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A23   Brucelose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A27   Leptospirose";-;-;-;-;-;-;5;1;-;4;-;6;7;2;4;4;1;1;2;-;-;37
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;4
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;1;-;-;-;-;1;1;3;2;1;2;2;3;-;16
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;1;1;-;7
"A39   Infecc meningogocica";-;1;6;2;3;1;1;-;1;3;3;-;-;-;2;-;2;1;-;-;-;26
"A40   Septicemia estreptococica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;2;1;-;6
"A41   Outr septicemias";-;-;52;20;6;14;11;14;13;19;24;55;66;88;130;138;168;163;199;436;2;1618
"A42   Actinomicose";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"A46   Erisipela";-;-;-;-;-;-;-;-;-;4;5;3;6;15;16;19;26;16;34;37;-;181
"A48   Outr doenc bacter NCOP";-;1;1;-;-;-;-;-;-;1;1;-;3;3;5;8;11;11;12;7;1;65
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;1;-;-;-;1;3;1;2;1;2;2;4;-;17
"A50   Sifilis congen";12;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;1;-;1;-;6
"A77   Febre maculosa";-;-;-;-;-;-;1;2;-;2;1;-;-;1;-;1;2;-;-;-;-;10
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;3;-;1;-;8
"A86   Encefalite viral NE";-;-;1;4;1;-;2;2;3;-;-;-;3;1;1;2;1;2;1;-;-;24
"A87   Meningite viral";-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;1;2;2;1;1;-;11
"A90   Dengue";-;-;-;-;-;-;-;-;3;-;1;-;1;4;4;5;4;3;4;15;-;44
"A91   Febre hemorragica dev virus do dengue";-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;3;2;-;4;-;12
"A92   Outr febres virais transm p/mosquitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A95   Febre amarela";-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;3
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;4
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;4
"B00   Infecc p/virus do herpes";-;-;-;1;-;-;-;1;1;-;1;1;-;-;2;1;1;2;2;2;-;15
"B01   Varicela";-;-;1;3;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"B02   Herpes zoster";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;5;9;-;17
"B15   Hepatite aguda A";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;1;-;1;3;1;4;1;3;2;1;1;-;18
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;1;-;-;1;3;5;8;2;2;2;-;-;2;-;26
"B18   Hepatite viral cronica";-;-;-;-;-;-;1;-;3;2;7;20;37;55;102;78;63;36;26;22;-;452
"B19   Hepatite viral NE";-;-;2;-;1;-;-;1;-;-;-;-;1;1;4;4;4;1;-;1;-;20
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;3;-;-;-;5;30;119;117;166;182;211;186;121;69;39;11;7;9;5;1280
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;2;6;6;5;9;3;5;4;1;1;2;-;-;-;44
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;1;7;13;20;35;33;28;20;20;15;5;2;2;-;1;202
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;-;1;-;2;3;3;1;1;-;-;-;-;-;-;11
