 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Masc
Período:2014
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A03   Shiguelose";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A04   Outr infecc intestinais bacter";-;-;1;-;-;-;-;1;-;-;-;-;-;3;6;1;3;1;3;6;-;25
"A05   Outr intox alimentares bacter NCOP";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"A06   Amebiase";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;3;-;7
"A07   Outr doenc intestinais p/protozoarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"A08   Infecc intestinais virais outr e as NE";-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;2;-;3;-;8
"A09   Diarreia e gastroenterite orig infecc presum";-;2;19;6;1;1;1;1;1;1;2;10;9;8;12;16;14;24;30;73;-;231
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;1;1;3;3;13;4;13;19;10;11;7;7;2;3;1;98
"A16   Tuberc vias respirat s/conf bacter histol";-;-;1;-;-;-;2;9;20;25;27;51;49;69;52;57;35;25;21;24;6;473
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;2;-;1;-;-;-;-;3;1;1;-;-;1;-;9
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;-;-;-;1;3;1;1;4;-;-;-;-;-;11
"A19   Tuberc miliar";-;-;-;-;-;-;-;-;1;4;7;6;6;5;5;4;2;1;2;-;-;43
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;4
"A27   Leptospirose";-;-;-;-;-;3;3;4;5;4;6;4;3;9;11;3;2;2;1;2;-;62
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;2;-;6
"A31   Infecc dev outr micobacterias";-;-;1;-;-;-;-;1;3;-;-;-;-;1;3;4;6;3;3;4;-;29
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;4
"A37   Coqueluche";-;1;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"A39   Infecc meningogocica";-;-;6;4;7;5;5;3;4;-;8;4;2;3;-;1;2;-;-;-;-;54
"A40   Septicemia estreptococica";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;2;2;4;4;-;16
