 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Masc
Período:2019
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"A04   Outr infecc intestinais bacter";-;-;6;-;-;-;-;1;1;-;1;1;1;1;5;1;4;7;10;22;-;61
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A06   Amebiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;4
"A09   Diarreia e gastroenterite orig infecc presum";-;-;12;9;2;2;2;1;-;1;2;5;6;7;16;17;23;26;40;124;-;295
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;1;-;-;2;3;3;12;6;6;20;23;14;21;24;7;5;7;2;156
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;2;10;19;25;23;48;46;69;63;47;31;22;19;27;2;453
"A17   Tuberc do sist nervoso";-;-;-;1;-;1;-;1;4;1;3;1;2;1;2;1;1;2;-;-;-;21
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;1;2;2;1;-;-;10
"A19   Tuberc miliar";-;-;1;-;-;-;-;2;4;3;5;5;10;9;3;9;7;1;2;1;1;63
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;3
"A27   Leptospirose";-;-;-;-;-;-;3;6;7;3;3;7;7;12;8;6;3;3;-;2;-;70
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;2;-;5
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;1;-;4;-;-;1;5;2;7;4;1;7;-;32
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;4
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;3
"A39   Infecc meningogocica";-;-;5;2;5;1;1;4;-;1;1;4;-;1;2;-;3;1;-;1;-;32
"A40   Septicemia estreptococica";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;2;-;5
"A41   Outr septicemias";-;-;36;11;3;4;12;12;23;15;28;38;57;86;119;161;166;200;223;529;7;1730
"A42   Actinomicose";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;4
"A43   Nocardiose";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"A44   Bartonelose";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;3
"A46   Erisipela";-;-;-;-;-;-;-;-;-;2;3;5;9;16;19;21;27;26;28;58;-;214
"A48   Outr doenc bacter NCOP";-;-;1;-;-;-;-;-;-;-;-;1;2;2;2;4;1;5;5;7;-;30
"A49   Infecc bacter de localiz NE";-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;2;5;5;5;3;-;23
"A50   Sifilis congen";3;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;2;-;-;3;-;9
"A53   Outr form e as NE da sifilis";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
"A63   Outr doenc de transm predom sexual NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A68   Febres recorrentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A77   Febre maculosa";-;-;-;1;1;-;2;2;1;-;5;2;-;4;4;-;1;-;-;1;-;24
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;1;-;-;1;4;2;1;1;1;1;-;-;12
"A85   Outr encefalites virais NCOP";-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"A86   Encefalite viral NE";-;-;-;-;-;1;1;-;1;-;-;-;1;4;1;3;3;1;2;7;-;25
"A87   Meningite viral";-;-;-;-;-;-;-;2;1;1;-;-;-;2;1;-;1;1;-;-;-;9
"A90   Dengue";-;-;-;-;-;-;1;5;-;1;4;1;2;1;4;6;8;11;9;29;-;82
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;-;-;1;1;1;5;2;2;1;6;6;1;4;12;-;42
"A92   Outr febres virais transm p/mosquitos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A95   Febre amarela";-;-;-;-;-;-;-;1;-;-;1;1;3;3;1;1;-;-;-;1;-;12
"A96   Febre hemorragica p/arenavirus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;1;1;-;-;-;1;1;1;2;1;-;-;-;-;8
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;3;3;1;2;1;-;-;2;-;1;-;-;1;-;-;14
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;1;-;-;1;3;1;-;-;-;2;4;-;12
"B01   Varicela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3;2;1;2;4;-;14
"B05   Sarampo";-;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;4
"B08   Outr inf virais lesoes pele membr muc NCOP";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"B09   Inf viral NE caract p/lesoes pele membr muco";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;1;-;-;4
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;1;-;2;2;2;3;4;3;1;-;1;-;19
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;1;1;-;-;-;1;5;5;4;1;4;2;3;-;27
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;1;4;23;21;35;73;55;46;17;13;18;-;306
"B19   Hepatite viral NE";-;-;1;-;-;-;-;-;-;2;1;-;5;1;1;-;2;1;-;-;-;14
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;1;-;1;-;4;33;78;88;115;121;145;131;88;69;39;20;14;6;1;954
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;3;-;6;5;7;5;4;2;1;1;2;-;-;36
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;9;13;18;15;18;19;26;21;11;7;2;3;2;-;164
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;1;2;-;1;1;1;1;2;-;-;1;-;1;-;11
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;4;7;7;8;16;23;16;10;7;5;1;3;2;-;109
"B25   Doenc p/citomegalovirus";-;-;1;2;-;-;-;1;-;-;-;1;-;-;2;2;1;3;1;1;-;15
"B33   Outr doenc p/virus NCOP";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;3
"B34   Doenc p/virus de localiz NE";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"B37   Candidiase";-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;2;6;-;15
"B39   Histoplasmose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;3
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;1;-;5
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;1;1;1;2;-;3;1;2;1;2;-;1;-;-;15
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;-;-;-;1;-;6
"B45   Criptococose";-;-;-;-;-;-;-;-;1;2;2;2;-;2;5;4;1;1;-;-;-;20
"B46   Zigomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"B48   Outr micoses NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B49   Micose NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;4
"B54   Malaria NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B55   Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;1;-;5
"B57   Doenc de Chagas";-;-;-;-;-;-;-;1;-;2;2;11;32;30;33;49;52;80;71;99;-;462
"B58   Toxoplasmose";-;-;-;1;-;-;-;-;1;-;2;1;1;-;-;-;-;-;-;-;-;6
"B59   Pneumocistose";-;-;-;-;-;-;-;-;1;1;2;4;1;2;3;-;-;-;-;-;-;14
"B65   Esquistossomose";-;-;-;-;-;-;-;-;1;2;-;1;2;3;3;5;2;1;1;4;-;25
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;2;1;1;1;1;-;1;2;-;2;-;11
"B74   Filariose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B77   Ascaridiase";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B87   Miiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;-;2;-;7
"B90   Sequelas de tuberc";-;-;-;-;-;1;-;-;-;-;1;2;2;4;3;4;4;1;2;9;-;33
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;1;-;-;1;-;7
"B92   Sequelas de hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;-;-;-;-;-;-;-;2;1;2;6;3;2;3;3;-;-;22
"B99   Doenc infecc outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"C00   Neopl malig do labio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;2;2;4;-;12
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;1;1;2;4;19;15;21;21;19;8;5;-;116
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;2;-;7;13;17;37;58;63;48;30;26;18;-;319
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;3;-;-;8
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;1;2;10;11;7;7;3;-;-;-;41
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;2;2;9;14;16;11;10;2;2;-;68
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;3;7;9;20;36;37;21;14;12;18;-;177
