 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Masc
Período:2010
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
"A04   Outr infecc intestinais bacter";-;-;4;-;-;-;-;1;-;-;1;-;-;1;-;3;2;-;2;3;5;-;22
"A05   Outr intox alimentares bacter NCOP";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;4
"A06   Amebiase";-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;2;1;-;2;3;-;12
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;3;2;3;-;11
"A09   Diarreia e gastroenterite orig infecc presum";1;1;33;-;10;2;4;-;1;-;5;2;6;8;17;12;16;13;29;38;104;-;302
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;1;2;2;5;1;12;11;9;10;8;8;4;3;2;1;79
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;2;1;-;2;14;15;31;35;39;75;72;59;48;32;29;22;31;7;514
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;-;2;-;-;-;-;3;1;1;1;-;2;1;1;-;12
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;1;1;-;1;1;1;1;2;-;-;4;-;2;1;-;-;15
"A19   Tuberc miliar";-;-;-;-;-;-;-;1;-;2;1;4;1;5;3;4;2;5;2;-;2;-;32
"A21   Tularemia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"A23   Brucelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;2;-;1;-;-;6
"A27   Leptospirose";-;-;-;-;-;-;1;2;1;9;5;6;12;1;6;9;7;2;5;1;-;-;67
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;2;-;-;-;7
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;1;-;3;3;2;1;1;1;1;1;1;-;15
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;-;-;-;-;6
"A37   Coqueluche";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"A39   Infecc meningogocica";-;1;19;-;27;16;10;11;7;3;3;-;1;3;2;4;1;-;1;-;2;-;111
"A40   Septicemia estreptococica";-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;1;3;6;3;2;-;20
"A41   Outr septicemias";-;-;71;-;16;3;6;11;10;14;20;31;36;68;62;82;100;101;120;141;301;5;1198
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;1;2;2;8;12;17;14;10;12;17;25;-;120
"A48   Outr doenc bacter NCOP";-;-;1;-;1;-;1;-;-;1;3;-;-;1;1;1;-;6;2;8;6;-;32
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;2;-;1;2;1;2;-;11
"A50   Sifilis congen";3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A77   Febre maculosa";-;-;-;-;-;-;1;1;2;1;-;3;1;-;-;-;-;-;-;-;-;-;9
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;2;-;7
"A86   Encefalite viral NE";-;-;1;-;3;-;-;-;3;1;1;-;3;3;1;2;1;3;-;-;-;-;22
"A87   Meningite viral";-;-;1;-;1;-;-;-;-;-;1;-;-;1;-;1;-;-;-;2;1;-;8
"A90   Dengue";-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;1;3;2;2;4;7;-;23
"A91   Febre hemorragica dev virus do dengue";-;-;1;-;2;4;-;-;2;2;1;5;3;1;1;2;2;1;2;5;1;-;35
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2
"B00   Infecc p/virus do herpes";-;-;1;-;-;-;-;-;1;-;1;2;-;2;-;2;-;1;1;-;-;-;11
"B01   Varicela";-;-;4;-;12;6;2;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;27
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;4;-;8
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
"B16   Hepatite aguda B";-;-;-;-;-;-;-;1;1;2;2;2;-;6;4;8;2;3;1;3;1;-;36
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;-;-;4;9;20;19;20;7;7;4;2;2;-;94
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;1;1;7;14;28;63;67;81;58;39;31;24;16;-;430
"B19   Hepatite viral NE";-;-;-;-;-;1;-;2;1;1;2;1;1;5;5;4;5;2;3;-;-;-;33
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;4;-;1;3;1;7;43;89;171;232;321;244;140;94;49;30;10;8;4;4;1455
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;1;4;10;8;9;4;4;4;2;1;1;-;-;-;48
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;1;1;9;15;36;44;56;41;28;14;16;2;4;4;1;1;273
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;-;1;-;1;3;2;2;1;-;-;-;-;-;-;-;10
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;3;10;26;29;60;37;18;22;8;5;3;1;1;-;223
"B25   Doenc p/citomegalovirus";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;6
"B26   Caxumba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"B27   Mononucleose infecc";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B33   Outr doenc p/virus NCOP";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"B34   Doenc p/virus de localiz NE";-;-;-;-;-;-;-;-;1;1;-;1;-;1;1;-;-;1;1;1;2;-;10
"B37   Candidiase";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;4;-;7
"B39   Histoplasmose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;3
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;1;1;3;1;3;3;1;2;-;2;-;17
"B41   Paracoccidioidomicose";-;-;-;-;1;-;-;-;-;-;1;-;-;2;1;2;-;2;2;-;-;-;11
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;4
"B45   Criptococose";-;-;-;-;-;-;-;-;1;3;1;2;-;1;-;2;1;-;1;1;-;-;13
"B47   Micetoma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"B48   Outr micoses NCOP";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;4
"B49   Micose NE";-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;6
"B50   Malaria p/Plasmodium falciparum";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"B55   Leishmaniose";-;-;1;-;-;-;-;-;-;1;1;-;2;-;2;2;-;-;1;2;2;-;14
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;1;3;6;18;17;32;51;62;75;83;74;56;99;-;577
"B58   Toxoplasmose";-;-;-;-;-;-;-;-;-;1;-;1;1;2;1;-;-;1;-;-;-;-;7
"B59   Pneumocistose";-;-;-;-;-;-;-;-;1;-;-;3;2;-;2;-;-;-;-;1;-;-;9
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;4;3;4;8;3;6;3;7;-;2;-;40
"B67   Equinococose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;1;-;-;1;-;7
"B77   Ascaridiase";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;3
"B87   Miiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;1;-;5
"B89   Doenc parasit NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;-;1;6;4;1;3;8;2;3;5;6;11;-;50
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;2;-;-;-;1;-;7
"B92   Sequelas de hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;1;-;-;1;-;-;-;-;-;1;2;-;1;-;1;-;3;-;10
"B99   Doenc infecc outr e as NE";-;-;1;-;-;-;-;2;-;-;-;-;-;1;1;-;1;-;1;-;2;-;9
"C00   Neopl malig do labio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;3;2;1;-;9
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;1;-;8;7;24;17;17;12;7;6;2;-;101
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;1;6;13;22;48;47;32;30;17;9;12;1;238
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;4
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;4;10;7;7;2;9;2;3;5;-;49
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;1;-;-;3;3;5;9;10;5;4;3;-;43
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;2;1;6;14;19;22;25;19;26;14;11;-;159
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;6;7;3;5;6;6;-;36
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;2;2;2;-;1;-;12
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;1;3;10;8;13;8;7;1;2;-;53
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;2;-;-;2;2;13;41;66;79;78;50;36;22;21;-;412
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;1;1;4;3;-;-;4;9;8;5;3;5;5;3;-;51
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;8;9;2;5;3;1;-;36
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;1;-;-;-;4;7;22;28;21;16;14;4;3;-;120
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;1;-;-;-;-;-;1;5;20;31;25;32;23;23;12;10;-;183
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;1;-;-;3;6;43;115;211;243;233;177;143;117;121;-;1413
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;1;2;9;19;40;53;102;189;242;285;295;332;325;359;-;2253
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;2;1;5;2;9;7;10;11;11;12;15;-;85
"C18   Neopl malig do colon";-;1;-;-;-;-;1;1;4;4;11;16;44;65;79;140;158;161;222;204;278;-;1389
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;3;3;5;6;13;15;18;20;28;26;43;-;180
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;1;4;8;6;20;40;42;63;70;97;77;70;95;-;593
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;1;2;3;4;1;4;3;-;2;3;2;-;25
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;1;2;1;2;5;6;11;22;61;134;166;169;171;155;131;145;-;1182
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;1;2;-;2;2;4;6;10;8;5;13;-;53
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;1;1;3;1;10;17;12;16;20;36;25;36;-;178
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;1;4;3;14;36;51;87;120;152;175;145;134;147;-;1069
"C26   Neopl malig outr mal def aparelho digestivo";-;-;1;-;-;-;-;-;1;-;3;8;12;14;22;37;41;51;57;57;87;-;391
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;2;-;1;5;-;11
"C31   Neopl malig dos seios da face";-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;4;8;1;2;2;-;-;24
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;2;5;22;60;140;150;144;114;106;71;73;-;887
"C33   Neopl malig da traqueia";-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;3;1;2;1;1;-;-;11
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;1;-;2;3;11;18;51;108;257;399;491;515;515;448;535;1;3355
"C37   Neopl malig do timo";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;1;-;-;5
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;2;2;-;4;4;7;1;8;1;10;7;5;12;6;9;11;9;-;98
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;4;4;4;1;-;3;-;18
"C40   Neopl malig ossos/cartilag artic membros";-;-;-;-;1;-;1;3;3;-;1;1;-;2;1;2;-;2;2;-;3;-;22
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;1;1;6;12;12;4;6;2;7;18;19;16;21;24;12;18;23;1;203
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;1;-;5;6;8;13;14;24;33;27;24;29;23;45;-;252
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;1;5;5;6;10;20;18;15;13;23;55;-;171
"C45   Mesotelioma";-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4;2;4;2;3;4;-;23
"C46   Sarcoma de Kaposi";-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;1;1;2;-;-;-;8
"C47   Neopl malig nervos perif e sist nerv autonom";-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;1;1;-;-;-;-;6
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;1;1;1;-;3;1;2;8;9;7;17;11;17;10;12;-;100
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;1;2;2;6;7;10;6;4;11;11;14;11;9;11;7;9;15;-;136
