Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Masculino
Período:2020
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Ign";"Total"
"A04   Outr infecc intestinais bacter";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
"A08   Infecc intestinais virais outr e as NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"A09   Diarreia e gastroenterite orig infecc presum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
"A15   Tuberc respirat c/conf bacteriol e histolog";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;1;0;0;1;1;1;0;4;4;0;1;0;0;0;0;0;0;13
"A18   Tuberc de outr orgaos";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"A19   Tuberc miliar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"A41   Outr septicemias";1;0;0;0;0;1;1;1;2;2;1;1;2;3;3;3;3;6;2;0;0;0;32
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;1;0;0;0;0;6
"A48   Outr doenc bacter NCOP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
"A49   Infecc bacter de localiz NE";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;3
"A77   Febre maculosa";0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;4
"A87   Meningite viral";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A90   Dengue";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
"A91   Febre hemorragica dev virus do dengue";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"A99   Febres hemorragicas virais NE";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2
"B00   Infecc p/virus do herpes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"B16   Hepatite aguda B";0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;5
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;0;1;1;2;1;2;0;0;0;0;0;0;0;0;7
"B19   Hepatite viral NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;0;0;0;2;2;1;8;2;3;3;0;1;1;0;0;0;0;0;0;23
"B21   Doenc p/HIV result em neopl malig";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
