Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Masculino
Período:2013
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Ign";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;0;1;1;2;1;2;2;2;1;0;0;0;1;0;0;0;0;13
"A27   Leptospirose";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3
"A37   Coqueluche";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A39   Infecc meningogocica";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A41   Outr septicemias";2;0;0;0;1;2;0;0;2;3;2;1;3;2;1;2;2;1;1;2;0;0;27
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"A48   Outr doenc bacter NCOP";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;3
"A50   Sifilis congen";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A81   Infecc p/virus atipicos sist nervoso central";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
"B00   Infecc p/virus do herpes";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B01   Varicela";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B17   Outr hepatites virais agudas";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;1;0;1;8;4;5;3;0;1;0;0;0;0;0;0;23
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;1;1;1;3;5;10;3;4;3;1;0;1;1;0;0;0;0;0;0;34
