Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Masculino
Período:2015
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Ign";"Total"
"A02   Outr infecc p/Salmonella";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A04   Outr infecc intestinais bacter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"A09   Diarreia e gastroenterite orig infecc presum";1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;2;1;0;0;0;0;8
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;2;0;1;1;0;3;2;4;1;1;2;0;0;1;0;0;0;0;18
"A27   Leptospirose";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"A31   Infecc dev outr micobacterias";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"A32   Listeriose";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"A41   Outr septicemias";1;1;0;0;0;0;0;1;1;1;0;3;1;1;5;4;2;7;1;2;0;0;31
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;3
"A48   Outr doenc bacter NCOP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;3
"A50   Sifilis congen";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A77   Febre maculosa";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"A81   Infecc p/virus atipicos sist nervoso central";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"A90   Dengue";0;0;0;0;0;1;1;0;0;0;0;0;0;1;3;3;0;0;0;1;0;0;10
"A98   Outr febres hemorragicas p/virus NCOP";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B00   Infecc p/virus do herpes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"B02   Herpes zoster";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"B17   Outr hepatites virais agudas";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;0;1;7;6;3;1;2;0;1;2;0;0;0;0;23
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;0;0;0;5;10;4;6;7;3;0;1;1;1;0;0;0;0;0;0;38
"B21   Doenc p/HIV result em neopl malig";0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;1;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;6
"B24   Doenc p/HIV NE";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"B44   Aspergilose";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"B45   Criptococose";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
"B57   Doenc de Chagas";0;0;0;0;0;0;0;1;0;0;1;1;2;3;1;2;0;0;0;0;0;0;11
"B69   Cisticercose";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B78   Estrongiloidiase";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B91   Sequelas de poliomielite";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B94   Sequelas de outr doenc infecc e parasit e NE";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"C01   Neopl malig da base da lingua";0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;4
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;1;0;1;1;2;1;1;1;2;0;0;0;0;0;0;10
"C03   Neopl malig da gengiva";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C04   Neopl malig do assoalho da boca";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"C06   Neopl malig outr partes e partes NE da boca";0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;5
"C07   Neopl malig da gland parotida";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
"C09   Neopl malig da amigdala";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2
"C10   Neopl malig da orofaringe";0;0;0;0;0;0;0;0;0;1;0;4;1;0;0;0;0;1;0;0;0;0;7
"C14   Neop mal out loc mal def labio cav oral far";0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;4
"C15   Neopl malig do esofago";0;0;0;0;0;0;0;0;1;1;5;7;3;7;3;2;1;0;0;0;0;0;30
"C16   Neopl malig do estomago";0;0;0;0;0;0;0;1;1;3;9;7;6;9;9;4;11;2;3;0;0;0;65
"C17   Neopl malig do intestino delgado";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3
"C18   Neopl malig do colon";0;0;0;0;0;0;0;1;2;2;2;8;5;9;7;8;7;7;0;0;0;0;58
"C19   Neopl malig da juncao retossigmoide";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C20   Neopl malig do reto";0;0;0;0;0;0;0;0;1;2;2;3;3;1;3;2;3;1;0;1;0;0;22
"C21   Neopl malig do anus e do canal anal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
"C22   Neopl malig figado vias biliares intra-hepat";0;0;0;0;0;0;0;0;1;4;3;8;5;4;3;4;6;0;1;0;0;0;39
"C23   Neopl malig da vesicula biliar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
"C24   Neopl malig outr partes e NE vias biliares";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;4
"C25   Neopl malig do pancreas";0;0;0;0;0;0;0;0;1;2;2;8;3;4;3;1;4;2;0;0;0;0;30
"C26   Neopl malig outr mal def aparelho digestivo";0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;6
