Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Masculino
Período:2014
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Ign";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;3;1;1;0;0;0;8
"A15   Tuberc respirat c/conf bacteriol e histolog";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;1;0;0;0;0;6
"A27   Leptospirose";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A31   Infecc dev outr micobacterias";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"A37   Coqueluche";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A39   Infecc meningogocica";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A41   Outr septicemias";2;1;0;2;0;0;0;1;1;0;4;2;2;2;3;9;3;4;1;0;0;0;37
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;1;0;0;0;0;6
"A77   Febre maculosa";0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;5
"A81   Infecc p/virus atipicos sist nervoso central";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"A86   Encefalite viral NE";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"A90   Dengue";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
"B02   Herpes zoster";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;1;0;4;7;7;3;1;1;0;0;0;0;0;0;0;24
"B19   Hepatite viral NE";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;1;0;2;1;9;4;13;5;4;1;0;1;0;0;0;0;0;0;0;41
"B21   Doenc p/HIV result em neopl malig";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;6
"B24   Doenc p/HIV NE";0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;3
"B27   Mononucleose infecc";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B40   Blastomicose";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"B41   Paracoccidioidomicose";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"B57   Doenc de Chagas";0;0;0;0;0;0;0;0;1;0;0;2;0;2;2;0;1;0;0;0;0;0;8
"B59   Pneumocistose";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B94   Sequelas de outr doenc infecc e parasit e NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"C01   Neopl malig da base da lingua";0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;3
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;2;1;0;0;0;0;0;7
"C03   Neopl malig da gengiva";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C05   Neopl malig do palato";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"C06   Neopl malig outr partes e partes NE da boca";0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;1;0;0;0;0;0;6
"C07   Neopl malig da gland parotida";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"C10   Neopl malig da orofaringe";0;0;0;0;0;0;0;0;1;0;2;1;2;0;0;0;0;0;0;0;0;0;6
"C12   Neopl malig do seio piriforme";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"C13   Neopl malig da hipofaringe";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"C14   Neop mal out loc mal def labio cav oral far";0;0;0;0;0;0;0;0;1;1;0;0;3;0;1;1;0;0;0;0;0;0;7
"C15   Neopl malig do esofago";0;0;0;0;0;0;0;0;0;4;4;5;6;1;5;4;0;0;0;0;0;0;29
"C16   Neopl malig do estomago";0;0;0;0;0;0;0;0;2;5;3;6;8;6;14;8;7;4;2;0;0;0;65
