Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Masculino
Período:2021
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Total"
"A04   Outr infecc intestinais bacter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"A08   Infecc intestinais virais outr e as NE";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"A09   Diarreia e gastroenterite orig infecc presum";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;2;1;0;0;8
"A15   Tuberc respirat c/conf bacteriol e histolog";0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;4
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;1;0;1;0;3;2;2;4;0;0;0;0;0;0;0;0;13
"A31   Infecc dev outr micobacterias";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"A41   Outr septicemias";2;0;0;1;0;0;0;1;1;5;1;5;10;8;5;5;5;2;4;0;0;55
"A46   Erisipela";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;3
"A48   Outr doenc bacter NCOP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"A77   Febre maculosa";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
"A81   Infecc p/virus atipicos sist nervoso central";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"A87   Meningite viral";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"A98   Outr febres hemorragicas p/virus NCOP";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B00   Infecc p/virus do herpes";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"B02   Herpes zoster";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"B16   Hepatite aguda B";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;0;1;2;4;5;2;0;1;1;0;0;0;0;16
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;0;1;3;2;4;4;2;5;3;2;0;0;1;0;0;0;0;0;27
"B21   Doenc p/HIV result em neopl malig";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;4
"B24   Doenc p/HIV NE";0;0;0;0;0;0;0;0;2;1;4;1;1;1;0;1;0;0;0;0;0;11
"B34   Doenc p/virus de localiz NE";1;1;0;2;2;18;30;64;80;98;141;186;237;219;230;186;149;106;62;7;5;1824
"B40   Blastomicose";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"B44   Aspergilose";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"B45   Criptococose";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"B57   Doenc de Chagas";0;0;0;0;0;0;0;0;1;2;2;1;5;3;3;4;2;0;0;0;0;23
"B94   Sequelas de outr doenc infecc e parasit e NE";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"B99   Doenc infecc outr e as NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"C00   Neopl malig do labio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"C01   Neopl malig da base da lingua";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;3
"C04   Neopl malig do assoalho da boca";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;3
"C05   Neopl malig do palato";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C06   Neopl malig outr partes e partes NE da boca";0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;0;0;0;0;0;0;6
"C07   Neopl malig da gland parotida";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"C09   Neopl malig da amigdala";0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;3
"C10   Neopl malig da orofaringe";0;0;0;0;0;0;0;0;0;0;2;0;1;2;1;1;1;0;0;0;0;8
"C11   Neopl malig da nasofaringe";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2
"C12   Neopl malig do seio piriforme";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C14   Neop mal out loc mal def labio cav oral far";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
"C15   Neopl malig do esofago";0;0;0;0;0;0;0;0;0;1;3;3;6;8;9;2;0;1;1;0;0;34
"C16   Neopl malig do estomago";0;0;0;0;0;0;0;1;2;3;3;6;6;12;11;7;0;8;0;0;0;59
"C17   Neopl malig do intestino delgado";0;0;0;0;0;0;0;0;0;0;1;1;2;0;2;1;1;0;0;0;0;8
"C18   Neopl malig do colon";0;0;0;0;0;0;1;1;0;3;2;6;7;12;7;14;8;5;1;0;0;67
"C19   Neopl malig da juncao retossigmoide";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2
"C20   Neopl malig do reto";0;0;0;0;0;0;0;0;1;0;1;1;4;4;3;0;2;0;0;0;0;16
"C21   Neopl malig do anus e do canal anal";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
"C22   Neopl malig figado vias biliares intra-hepat";0;0;0;0;0;0;0;2;0;4;0;5;9;11;8;7;5;3;0;0;0;54
"C24   Neopl malig outr partes e NE vias biliares";0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;4
"C25   Neopl malig do pancreas";0;0;0;0;0;0;0;0;0;3;4;2;5;4;7;6;6;5;1;1;0;44
"C26   Neopl malig outr mal def aparelho digestivo";0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;2;0;0;0;0;0;7
"C32   Neopl malig da laringe";0;0;0;0;0;0;0;0;0;3;1;4;3;3;2;3;1;0;0;0;0;20
"C34   Neopl malig dos bronquios e dos pulmoes";0;0;0;0;0;0;0;0;0;0;4;7;12;15;23;13;11;3;3;1;0;92
"C38   Neopl malig do coracao mediastino e pleura";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;3
