Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;;
Período:2019;;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Ign;Total
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;1;0;0;0;0;0;0;1;1;2;1;4;6;6;8;1;0;0;31
A15   Tuberc respirat c/conf bacteriol e histolog;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;1;1;1;0;0;0;8
A17   Tuberc do sist nervoso;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
A19   Tuberc miliar;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
A27   Leptospirose;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;5
A31   Infecc dev outr micobacterias;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2
A39   Infecc meningogocica;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
A41   Outr septicemias;1;0;0;0;0;0;0;1;0;0;0;1;5;2;4;7;8;2;5;1;0;0;37
A46   Erisipela;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;2;2;0;0;0;7
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;2;0;0;0;6
A77   Febre maculosa;1;1;1;0;1;0;1;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;10
A86   Encefalite viral NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;3
A90   Dengue;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;6
A91   Febre hemorragica dev virus do dengue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
A98   Outr febres hemorragicas p/virus NCOP;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3
B00   Infecc p/virus do herpes;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B16   Hepatite aguda B;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;3
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;0;2;0;5;1;2;1;0;1;0;0;0;0;0;12
B19   Hepatite viral NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;1;3;2;1;2;7;2;1;3;4;1;2;0;0;0;0;0;0;29
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;5
B24   Doenc p/HIV NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B37   Candidiase;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
B41   Paracoccidioidomicose;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
B45   Criptococose;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;3
B48   Outr micoses NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
B49   Micose NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;1;1;3;1;3;3;6;3;7;4;3;0;0;0;35
B90   Sequelas de tuberc;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;1;0;0;0;0;0;6
B94   Sequelas de outr doenc infecc e parasit e NE;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2
C01   Neopl malig da base da lingua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;0;0;0;1;0;0;3;4;0;0;0;0;0;0;0;0;8
C03   Neopl malig da gengiva;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C04   Neopl malig do assoalho da boca;0;0;0;0;1;0;0;0;0;2;0;1;0;1;0;0;1;0;0;0;0;0;6
C05   Neopl malig do palato;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;1;0;0;0;0;5
C07   Neopl malig da gland parotida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
C10   Neopl malig da orofaringe;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;1;0;0;0;0;0;7
C11   Neopl malig da nasofaringe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
C12   Neopl malig do seio piriforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
C13   Neopl malig da hipofaringe;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;0;0;0;0;0;7
C14   Neop mal out loc mal def labio cav oral far;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;3
C15   Neopl malig do esofago;0;0;0;0;0;0;0;0;0;3;2;8;12;7;5;5;4;1;0;0;0;0;47
C16   Neopl malig do estomago;0;0;0;0;0;0;2;3;3;5;7;10;10;12;10;16;10;10;2;1;0;0;101
C17   Neopl malig do intestino delgado;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;3
C18   Neopl malig do colon;0;0;0;0;0;0;0;1;7;8;12;7;15;18;28;29;10;16;6;2;0;0;159
C19   Neopl malig da juncao retossigmoide;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;1;0;1;0;0;0;7
C20   Neopl malig do reto;0;0;0;0;0;0;0;0;2;1;5;2;5;4;3;8;5;1;2;1;0;0;39
C22   Neopl malig figado vias biliares intra-hepat;0;0;0;0;0;0;0;1;0;2;7;12;16;13;9;5;7;5;4;0;1;0;82
C23   Neopl malig da vesicula biliar;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;4
C24   Neopl malig outr partes e NE vias biliares;0;0;0;0;0;0;0;0;2;0;2;4;3;6;6;7;4;3;0;0;0;0;37
C25   Neopl malig do pancreas;0;0;0;0;0;0;0;1;1;0;8;7;9;12;20;11;11;7;6;2;0;0;95
C26   Neopl malig outr mal def aparelho digestivo;0;0;0;0;0;0;0;0;1;0;0;2;0;4;1;0;5;0;0;0;0;0;13
C30   Neopl malig cavidade nasal e do ouvido medio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
C31   Neopl malig dos seios da face;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
C32   Neopl malig da laringe;0;0;0;0;0;0;0;0;0;3;3;5;3;7;4;1;1;0;0;0;0;0;27
C34   Neopl malig dos bronquios e dos pulmoes;0;0;0;0;0;0;1;2;2;3;8;10;20;31;25;29;19;13;5;2;0;0;170
C37   Neopl malig do timo;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
C38   Neopl malig do coracao mediastino e pleura;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;5
