Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;
Período:2012;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Total
A05   Outr intox alimentares bacter NCOP;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;0;0;1;0;1;1;1;1;1;1;5;0;2;2;1;0;0;17
A15   Tuberc respirat c/conf bacteriol e histolog;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;3
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;0;1;1;2;0;0;1;0;0;1;0;0;0;0;6
A18   Tuberc de outr orgaos;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
A19   Tuberc miliar;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
A27   Leptospirose;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
A39   Infecc meningogocica;1;0;0;0;2;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;7
A41   Outr septicemias;2;1;0;0;0;0;0;0;3;2;2;3;1;5;10;10;8;10;2;1;0;60
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;1;2;0;0;0;8
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;6
A77   Febre maculosa;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A86   Encefalite viral NE;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
