Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;;
Período:2020;;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Ign;Total
A04   Outr infecc intestinais bacter;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;6
A08   Infecc intestinais virais outr e as NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;2;4;2;3;0;0;16
A15   Tuberc respirat c/conf bacteriol e histolog;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;1;1;0;2;1;1;0;4;4;0;1;1;0;0;0;0;0;16
A18   Tuberc de outr orgaos;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
A19   Tuberc miliar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
A39   Infecc meningogocica;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
A41   Outr septicemias;2;0;0;0;0;1;1;1;2;2;1;4;6;6;6;9;7;11;2;2;0;0;63
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;1;1;3;0;1;0;3;2;3;1;0;0;15
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3
A49   Infecc bacter de localiz NE;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;4
A52   Sifilis tard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
A77   Febre maculosa;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;5
A81   Infecc p/virus atipicos sist nervoso central;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2
A87   Meningite viral;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2
A90   Dengue;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
A91   Febre hemorragica dev virus do dengue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
A99   Febres hemorragicas virais NE;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2
B00   Infecc p/virus do herpes;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2
B02   Herpes zoster;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
B16   Hepatite aguda B;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;7
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;0;1;2;3;1;3;1;0;0;1;0;0;0;0;12
B19   Hepatite viral NE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;0;0;2;2;1;8;2;3;3;1;1;1;0;0;0;0;0;0;24
B21   Doenc p/HIV result em neopl malig;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;0;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;7
B24   Doenc p/HIV NE;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;4
B34   Doenc p/virus de localiz NE;0;1;1;1;4;11;13;25;32;36;85;101;164;208;199;203;175;143;99;20;10;0;1531
B37   Candidiase;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B41   Paracoccidioidomicose;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
B44   Aspergilose;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
B45   Criptococose;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
B57   Doenc de Chagas;0;0;0;0;0;0;1;1;0;3;2;2;3;5;6;5;4;2;4;0;0;0;38
B65   Esquistossomose;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
B67   Equinococose;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
B69   Cisticercose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
B87   Miiase;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B90   Sequelas de tuberc;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B91   Sequelas de poliomielite;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B94   Sequelas de outr doenc infecc e parasit e NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
C01   Neopl malig da base da lingua;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;0;0;0;0;1;3;0;1;1;1;1;1;0;0;0;0;9
C04   Neopl malig do assoalho da boca;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2;0;0;1;0;0;0;7
C07   Neopl malig da gland parotida;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;3
C08   Neopl malig outr gland saliv maiores e NE;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
