Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Período:2017
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Ign";"Total"
"A04   Outr infecc intestinais bacter";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2
"A09   Diarreia e gastroenterite orig infecc presum";0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;4;2;5;1;0;0;17
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;0;1;0;1;1;2;2;2;1;0;1;1;0;0;0;0;0;12
"A19   Tuberc miliar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"A31   Infecc dev outr micobacterias";0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3
"A37   Coqueluche";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A39   Infecc meningogocica";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A41   Outr septicemias";0;1;0;0;0;1;0;1;1;4;5;3;1;7;6;9;7;12;5;2;0;0;65
"A43   Nocardiose";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;3;0;2;1;0;10
"A48   Outr doenc bacter NCOP";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;6
"A49   Infecc bacter de localiz NE";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
"A81   Infecc p/virus atipicos sist nervoso central";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"A86   Encefalite viral NE";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"A87   Meningite viral";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"B00   Infecc p/virus do herpes";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"B02   Herpes zoster";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"B16   Hepatite aguda B";0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;1;1;7;4;6;3;1;0;2;0;0;0;0;0;25
"B19   Hepatite viral NE";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"B20   Doenc p/HIV result doenc infecc e parasit";1;0;0;0;0;3;3;4;4;5;5;5;2;5;0;0;0;0;0;0;0;0;37
"B21   Doenc p/HIV result em neopl malig";0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;8
"B24   Doenc p/HIV NE";0;0;0;0;1;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;5
"B39   Histoplasmose";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B40   Blastomicose";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B41   Paracoccidioidomicose";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
"B44   Aspergilose";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;3
"B49   Micose NE";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"B57   Doenc de Chagas";0;0;0;0;0;0;0;0;2;1;1;1;4;2;5;5;5;3;0;0;0;0;29
"B65   Esquistossomose";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B87   Miiase";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"B99   Doenc infecc outr e as NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
"C01   Neopl malig da base da lingua";0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;4
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;0;0;2;2;0;2;0;1;2;0;0;0;0;0;0;9
"C04   Neopl malig do assoalho da boca";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
"C05   Neopl malig do palato";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;4
"C06   Neopl malig outr partes e partes NE da boca";0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;0;7
"C07   Neopl malig da gland parotida";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
