Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;;
Período:2022;;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Ign;Total
A04   Outr infecc intestinais bacter;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;3;0;0;0;7
A09   Diarreia e gastroenterite orig infecc presum;1;0;0;0;0;0;0;0;1;1;2;0;2;1;0;2;4;7;1;4;1;0;27
A15   Tuberc respirat c/conf bacteriol e histolog;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;3
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;5;1;3;3;2;4;2;2;1;2;0;0;0;0;0;25
A17   Tuberc do sist nervoso;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A18   Tuberc de outr orgaos;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
A27   Leptospirose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2
A31   Infecc dev outr micobacterias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;3
A41   Outr septicemias;4;0;0;1;0;0;3;0;0;1;2;1;4;6;14;13;12;17;9;2;0;0;89
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;2;3;5;2;1;1;0;20
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;3
A49   Infecc bacter de localiz NE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
A81   Infecc p/virus atipicos sist nervoso central;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
A86   Encefalite viral NE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
A90   Dengue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
A91   Febre hemorragica dev virus do dengue;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2
A98   Outr febres hemorragicas p/virus NCOP;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3
A99   Febres hemorragicas virais NE;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
B02   Herpes zoster;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
B09   Inf viral NE caract p/lesoes pele membr muco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
B16   Hepatite aguda B;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
B18   Hepatite viral cronica;0;0;0;0;0;0;1;0;0;0;0;6;2;1;2;2;1;0;0;0;0;0;15
B19   Hepatite viral NE;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
B20   Doenc p/HIV result doenc infecc e parasit;0;1;0;0;1;3;2;1;7;4;6;4;2;4;1;1;0;0;0;0;0;0;37
B21   Doenc p/HIV result em neopl malig;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4
B24   Doenc p/HIV NE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B25   Doenc p/citomegalovirus;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2
B34   Doenc p/virus de localiz NE;3;0;1;1;0;4;4;6;7;12;18;35;44;66;80;86;100;98;81;27;4;0;677
B37   Candidiase;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B39   Histoplasmose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
B43   Cromomicose e abscesso feomicotico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;0;0;3;3;5;5;2;5;5;4;1;1;0;0;34
B59   Pneumocistose;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
B65   Esquistossomose;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
B90   Sequelas de tuberc;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
B94   Sequelas de outr doenc infecc e parasit e NE;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;3
C01   Neopl malig da base da lingua;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;3
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;1;0;1;0;1;2;1;0;2;0;0;0;0;0;0;0;8
C04   Neopl malig do assoalho da boca;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C05   Neopl malig do palato;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;3
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;0;0;1;2;0;0;0;10
C07   Neopl malig da gland parotida;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
C09   Neopl malig da amigdala;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;4
C10   Neopl malig da orofaringe;0;0;0;0;0;0;0;0;0;0;0;4;1;2;1;3;0;1;1;0;0;0;13
C11   Neopl malig da nasofaringe;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;5
C12   Neopl malig do seio piriforme;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
C13   Neopl malig da hipofaringe;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C14   Neop mal out loc mal def labio cav oral far;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;4
C15   Neopl malig do esofago;0;0;0;0;0;0;0;0;1;2;8;7;9;9;8;8;2;4;1;0;0;0;59
C16   Neopl malig do estomago;0;0;0;0;0;0;0;2;4;5;6;10;16;17;8;11;6;7;3;0;0;0;95
C17   Neopl malig do intestino delgado;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;3;1;0;0;0;10
C18   Neopl malig do colon;0;0;0;0;0;0;0;2;1;4;10;13;15;10;17;23;22;9;6;3;0;0;135
C19   Neopl malig da juncao retossigmoide;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;4
C20   Neopl malig do reto;0;0;0;0;0;1;0;0;0;1;2;3;8;5;4;2;3;4;1;0;0;0;34
C21   Neopl malig do anus e do canal anal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
C22   Neopl malig figado vias biliares intra-hepat;0;0;0;0;0;0;0;1;0;1;4;8;7;12;14;8;6;6;1;1;0;0;69
C23   Neopl malig da vesicula biliar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;4
C24   Neopl malig outr partes e NE vias biliares;0;0;0;0;0;0;0;0;0;1;3;1;2;1;2;1;5;4;1;0;0;0;21
C25   Neopl malig do pancreas;0;0;0;0;0;0;0;0;2;3;3;4;11;13;15;8;17;10;5;1;0;0;92
C26   Neopl malig outr mal def aparelho digestivo;0;0;0;0;0;0;0;0;0;2;0;5;2;1;3;2;6;4;1;1;0;0;27
C30   Neopl malig cavidade nasal e do ouvido medio;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C32   Neopl malig da laringe;0;0;0;0;0;0;0;0;0;0;1;8;3;6;5;5;1;0;0;0;0;0;29
C34   Neopl malig dos bronquios e dos pulmoes;0;0;0;0;0;0;0;3;2;5;9;17;25;21;32;33;17;14;4;2;1;0;185
C37   Neopl malig do timo;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C38   Neopl malig do coracao mediastino e pleura;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;6
C40   Neopl malig ossos/cartilag artic membros;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C41   Neopl malig ossos/cartil artic outr loc e NE;0;0;0;0;0;0;0;0;0;1;2;0;2;0;1;1;0;0;1;0;0;0;8
C43   Melanoma malig da pele;0;0;0;0;0;0;0;1;0;1;1;1;0;2;2;1;2;0;0;2;0;0;13
C44   Outr neopl malig da pele;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;3;2;1;0;1;0;12
C45   Mesotelioma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
C47   Neopl malig nervos perif e sist nerv autonom;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
