 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Período:2010
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;3;2;8;17
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;1;1;-;6
"A17   Tuberc do sist nervoso";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"A37   Coqueluche";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A39   Infecc meningogocica";-;-;2;2;1;1;-;1;1;-;-;-;-;-;1;-;-;1;-;-;10
"A41   Outr septicemias";-;-;4;2;-;1;-;1;1;-;-;2;1;2;1;4;4;7;10;18;58
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;2;6
"A48   Outr doenc bacter NCOP";-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;1;6
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A77   Febre maculosa";-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;3
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
