 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Período:2019
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;2;1;4;21;-;31
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;-;-;3;-;8
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2
"A19   Tuberc miliar";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;-;-;5
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"A39   Infecc meningogocica";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"A41   Outr septicemias";-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;5;1;4;7;16;-;36
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;5;-;7
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;-;6
"A77   Febre maculosa";-;-;-;1;1;1;-;1;-;1;2;1;-;-;1;-;1;-;-;-;-;10
"A86   Encefalite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;3
"A90   Dengue";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;2;-;6
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;3
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;2;-;5;1;2;1;-;1;-;12
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;1;3;2;1;2;7;2;1;3;4;1;2;-;-;29
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;1;-;-;-;-;-;5
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B37   Candidiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;3
"B48   Outr micoses NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B49   Micose NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;1;1;3;1;3;3;6;3;14;-;35
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;1;-;6
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;4;-;-;-;-;8
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;1;-;-;1;-;6
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;1;-;5
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;1;-;-;1;-;7
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;1;-;7
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;-;3;2;8;12;7;5;5;5;-;47
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;2;3;3;5;7;10;10;12;10;16;23;-;101
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;3
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;1;7;8;12;7;15;18;28;29;34;-;159
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;-;2;-;7
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;-;2;1;5;2;5;4;3;8;9;-;39
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;1;-;2;7;12;16;13;9;5;17;-;82
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;4
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;2;-;2;4;3;6;6;7;7;-;37
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;1;1;-;8;7;9;12;20;11;26;-;95
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;4;1;-;5;-;13
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C31   Neopl malig dos seios da face";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;3;3;5;3;7;4;1;1;-;27
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;-;1;2;2;3;8;10;20;31;25;29;39;-;170
"C37   Neopl malig do timo";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;2;-;-;-;5
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C40   Neopl malig ossos/cartilag artic membros";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;3
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;1;3;1;4;6;-;19
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;4
"C45   Mesotelioma";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;4
"C47   Neopl malig nervos perif e sist nerv autonom";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;3;3;1;1;4;-;17
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;1;1;1;-;7
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;1;4;3;10;10;11;16;17;13;5;14;36;-;140
"C51   Neopl malig da vulva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;1;-;-;5
"C52   Neopl malig da vagina";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;-;-;2;-;5;1;1;1;3;3;2;1;3;-;22
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;3;5;2;3;7;-;24
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;1;1;2;-;-;9
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;-;-;-;2;1;2;3;7;3;2;4;6;6;-;36
"C57   Neopl malig outr org genitais femin e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
"C60   Neopl malig do penis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C61   Neopl malig da prostata";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;5;9;12;16;33;-;78
"C62   Neopl malig dos testiculos";-;-;-;-;-;-;1;2;2;1;1;-;1;-;-;-;-;-;-;-;-;8
"C63   Neopl malig outr org genit masc e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;5;3;2;9;9;-;32
"C65   Neopl malig da pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;4;6;3;10;22;-;51
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C69   Neopl malig do olho e anexos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C70   Neopl malig das meninges";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"C71   Neopl malig do encefalo";-;-;-;-;-;-;-;-;2;1;1;1;2;3;9;10;7;7;2;6;-;51
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;3;-;-;6
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;1;-;6
"C74   Neopl malig da gland supra-renal";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;5;5;1;2;8;-;28
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;-;1;2;-;9
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;-;4
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;1;-;-;-;-;-;1;-;4;8;6;7;7;8;13;-;55
"C81   Doenc de Hodgkin";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;4
"C82   Linfoma nao-Hodgkin folicular";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;4
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;-;-;-;-;1;-;-;2;-;2;1;-;1;-;1;1;-;9
"C84   Linfomas de celulas T cutaneas e perifericas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;1;-;-;-;-;-;1;1;1;1;4;6;8;5;7;7;-;42
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;1;-;1;2;1;1;3;2;6;9;6;-;32
"C91   Leucemia linfoide";-;-;-;2;1;-;-;1;-;-;1;-;-;-;2;-;2;2;2;3;-;16
"C92   Leucemia mieloide";-;-;-;-;-;1;-;-;1;1;-;2;1;-;2;1;3;1;4;4;-;21
"C94   Outr leucemias de celulas de tipo espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C95   Leucemia de tipo celular NE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;2;-;5
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"D27   Neopl benig do ovario";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
