 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Período:2017
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;12;-;17
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;1;-;1;1;2;2;2;1;-;1;1;-;12
"A19   Tuberc miliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;3
"A37   Coqueluche";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A39   Infecc meningogocica";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A41   Outr septicemias";-;-;-;-;1;-;-;-;1;-;1;1;4;5;3;1;7;6;9;26;-;65
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;7;-;10
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;-;6
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A86   Encefalite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A87   Meningite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;3
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;1;1;7;4;6;3;1;-;2;-;25
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;1;-;-;-;-;-;3;3;4;4;5;5;5;2;5;-;-;-;-;37
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;1;-;-;1;1;1;1;1;-;-;1;1;-;8
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;1;-;-;-;5
"B39   Histoplasmose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;3
"B49   Micose NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;4;2;5;5;8;-;29
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"B87   Miiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B99   Doenc infecc outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;-;-;-;-;4
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;2;-;1;2;-;-;9
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;4
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;3;-;7
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;2;1;1;1;-;8
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;3
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;1;2;5;3;11;5;6;5;4;10;-;52
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;1;2;1;4;4;4;9;11;16;15;25;-;92
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;2;-;7
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;-;4;4;6;10;11;16;18;19;25;-;113
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;4
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;1;-;-;-;1;5;1;6;1;9;3;3;-;30
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;-;1;11;9;7;8;7;8;8;-;59
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;3;-;5
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;3;2;-;11
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;1;2;3;5;9;8;14;22;12;23;-;99
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;2;2;4;8;-;21
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;2;4;4;1;2;-;19
"C33   Neopl malig da traqueia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;-;-;-;3;6;18;17;26;25;27;21;43;-;186
"C37   Neopl malig do timo";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;3
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;3
"C40   Neopl malig ossos/cartilag artic membros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;1;-;-;1;-;-;6
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;2;-;-;2;2;2;1;1;3;2;5;-;20
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;1;4;-;10
"C45   Mesotelioma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3
"C46   Sarcoma de Kaposi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;5;-;10
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;2;1;-;-;2;-;8
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;1;1;4;8;9;11;7;7;17;13;14;15;-;107
"C51   Neopl malig da vulva";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;3
"C52   Neopl malig da vagina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;-;-;1;3;2;2;-;1;5;2;3;-;7;-;26
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;3;7;1;2;-;17
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;2;2;-;8
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;-;-;1;-;2;3;1;4;2;1;6;4;9;-;33
"C60   Neopl malig do penis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C61   Neopl malig da prostata";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;6;12;6;17;30;-;74
