 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Período:2012
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A05   Outr intox alimentares bacter NCOP";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;1;1;5;-;5;17
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;3
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;1;-;-;1;6
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A19   Tuberc miliar";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"A39   Infecc meningogocica";-;-;-;1;-;-;-;2;2;-;-;-;1;1;-;-;-;-;-;-;7
"A41   Outr septicemias";-;-;2;-;1;-;-;-;-;-;-;3;2;2;3;1;5;10;10;21;60
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;-;3;8
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;1;-;-;1;6
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A86   Encefalite viral NE";-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"B01   Varicela";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;1;-;-;8;6;7;5;4;3;3;5;42
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;1;-;6;11;7;14;6;1;2;1;-;-;-;49
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;1;-;-;2;1;1;2;-;-;-;-;-;7
"B24   Doenc p/HIV NE";-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;1;-;1;5;-;1;-;6;9;23
"B87   Miiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;4
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;2;4;9
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;-;2;6
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;-;-;2;-;2;10
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;4
