 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Fem
Período:2014
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A04   Outr infecc intestinais bacter";-;-;4;-;-;-;-;-;-;-;1;1;-;1;4;1;5;12;3;18;-;50
"A05   Outr intox alimentares bacter NCOP";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4
"A06   Amebiase";-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;1;-;5
"A08   Infecc intestinais virais outr e as NE";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4;-;10
"A09   Diarreia e gastroenterite orig infecc presum";1;2;16;5;1;2;1;1;1;2;3;3;2;12;13;25;28;28;52;196;-;394
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;1;-;-;-;1;-;2;2;2;4;2;1;3;1;1;1;-;3;-;24
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;4;8;8;6;6;14;11;10;10;10;8;11;8;11;1;126
"A17   Tuberc do sist nervoso";-;-;-;2;-;-;-;1;-;2;-;-;1;-;-;-;-;-;1;-;-;7
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;3
"A19   Tuberc miliar";-;-;-;-;-;1;-;2;-;1;-;3;4;-;2;5;-;1;4;2;-;25
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3
"A27   Leptospirose";-;-;-;-;-;2;1;-;-;3;-;2;1;2;1;2;1;1;-;2;-;18
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;3;3;-;5;-;15
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A37   Coqueluche";-;1;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"A38   Escarlatina";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A39   Infecc meningogocica";-;-;4;-;2;3;4;1;1;-;4;1;3;4;1;2;-;-;-;1;-;31
"A40   Septicemia estreptococica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;6;-;10
"A41   Outr septicemias";-;-;51;20;3;5;10;12;13;21;16;23;36;47;71;103;122;164;173;619;1;1510
"A42   Actinomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A46   Erisipela";-;-;-;-;-;-;-;1;-;1;1;2;1;5;11;10;13;22;24;87;-;178
"A48   Outr doenc bacter NCOP";1;-;-;-;-;-;-;1;-;1;-;-;-;-;2;3;2;2;5;15;-;32
"A49   Infecc bacter de localiz NE";-;-;1;-;-;-;1;-;-;-;1;-;2;-;-;1;-;-;-;5;-;11
"A50   Sifilis congen";5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3
"A54   Infecc gonococica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A64   Doenc sexualmente transm NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
"A81   Infecc p/virus atipicos sist nervoso central";-;-;1;-;-;-;1;-;-;-;-;-;-;2;4;3;2;1;1;-;-;15
"A86   Encefalite viral NE";-;-;-;-;2;-;-;-;-;-;1;1;1;-;-;1;2;2;1;4;-;15
"A87   Meningite viral";-;-;2;1;1;-;-;-;1;-;-;-;2;-;-;-;-;1;1;2;-;11
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
"A90   Dengue";-;-;-;-;1;-;1;-;-;5;1;1;5;3;4;-;3;2;4;2;-;32
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;1;-;-;1;1;-;7
"A96   Febre hemorragica p/arenavirus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;5;-;9
"B01   Varicela";-;-;-;12;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;2;2;11;-;18
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;2;1;-;-;-;8
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;1;-;-;-;1;5;1;6;3;5;1;-;-;23
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;1;1;3;6;13;23;31;54;37;48;32;22;-;271
"B19   Hepatite viral NE";-;-;-;-;-;-;1;1;1;1;1;1;3;2;2;2;1;3;1;1;-;21
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;2;9;16;33;65;85;124;100;76;45;22;16;11;5;3;2;614
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;2;1;-;2;2;2;5;1;-;-;-;-;-;15
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;5;4;9;10;26;15;10;9;7;2;1;1;1;-;100
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;-;1;1;1;1;3;1;1;-;-;-;-;-;-;9
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;1;5;6;18;13;16;7;7;5;5;3;1;1;-;88
"B25   Doenc p/citomegalovirus";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;2;1;1;-;-;7
"B33   Outr doenc p/virus NCOP";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;-;4
"B34   Doenc p/virus de localiz NE";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;4
"B37   Candidiase";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3;-;8
"B39   Histoplasmose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;3
"B45   Criptococose";-;-;-;-;-;-;-;-;-;1;2;-;2;1;-;1;-;1;-;-;-;8
"B46   Zigomicose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B49   Micose NE";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;5
"B55   Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;4
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;1;1;8;11;14;19;41;41;57;70;88;124;-;475
"B58   Toxoplasmose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B59   Pneumocistose";-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;3
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;2;1;3;1;8;6;7;3;4;-;35
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;1;-;6
"B86   Escabiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"B87   Miiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;3
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;5;-;7;-;15
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;4
"B92   Sequelas de hanseniase";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;1;-;-;-;-;-;4;-;-;1;-;-;-;-;-;1;-;7
"B99   Doenc infecc outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;2;-;6
"C00   Neopl malig do labio";-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;-;1;1;-;1;-;8
"C01   Neopl malig da base da lingua";-;-;-;1;-;-;-;-;1;-;-;-;-;2;1;1;1;5;3;5;-;20
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;1;1;2;7;4;6;6;12;13;13;-;65
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3;1;-;-;7
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;1;1;3;2;-;11
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;1;1;1;4;1;1;3;5;3;3;-;23
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;2;1;4;2;7;5;6;20;-;47
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;1;1;-;-;-;2;1;1;3;5;-;13;-;27
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;4
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;3
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;2;6;6;12;11;13;10;5;14;-;79
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;1;1;2;1;-;2;5;-;5;3;2;2;2;2;-;28
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;3
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;-;1;-;-;-;2;5;-;1;2;-;1;-;12
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;1;-;4;-;3;3;5;4;1;3;13;-;37
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;2;3;5;14;21;32;39;56;34;22;73;-;301
"C16   Neopl malig do estomago";-;-;-;-;-;-;2;3;10;15;25;41;64;73;117;122;140;141;165;345;-;1263
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;2;-;3;10;9;11;14;14;24;29;-;116
"C18   Neopl malig do colon";-;-;-;-;-;-;2;4;1;24;28;43;73;118;148;176;218;207;213;450;-;1705
