 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Fem
Período:2018
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A03   Shiguelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A04   Outr infecc intestinais bacter";-;-;1;1;-;-;-;-;-;1;2;1;-;2;1;4;3;1;9;51;-;77
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A06   Amebiase";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;2;-;6
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;4;-;9
"A09   Diarreia e gastroenterite orig infecc presum";-;-;14;11;3;-;3;-;1;1;-;7;-;12;18;13;15;32;41;268;-;439
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;4;2;1;4;-;3;1;-;3;3;2;1;7;-;31
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;1;4;11;4;8;13;6;18;14;9;7;7;15;-;117
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;1;1;1;-;-;1;2;1;-;3;-;-;1;-;-;11
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;4
"A19   Tuberc miliar";-;-;-;-;-;-;-;3;1;1;1;-;2;2;4;3;2;2;-;3;-;24
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A27   Leptospirose";-;-;-;-;1;-;-;2;1;-;-;1;3;3;1;1;-;-;1;-;-;14
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;4
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;1;-;1;-;-;-;-;2;1;3;4;1;4;10;-;27
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"A36   Difteria";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A37   Coqueluche";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A39   Infecc meningogocica";-;-;1;4;1;1;-;-;-;1;2;-;3;2;1;2;1;1;-;1;-;21
