 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Fem
Período:2011
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;3
"A03   Shiguelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A04   Outr infecc intestinais bacter";-;-;4;-;-;1;-;-;-;-;-;-;-;-;1;1;1;3;2;10;-;23
"A05   Outr intox alimentares bacter NCOP";-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;2;-;7
"A06   Amebiase";-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;1;-;3;7;-;15
"A07   Outr doenc intestinais p/protozoarios";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3
"A08   Infecc intestinais virais outr e as NE";-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;2;1;2;-;11;-;19
"A09   Diarreia e gastroenterite orig infecc presum";-;-;17;7;4;3;-;2;1;2;3;2;3;16;6;20;21;29;36;208;-;380
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;1;-;-;-;4;2;2;1;-;1;-;-;1;1;-;13
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;3;3;9;8;10;11;15;11;13;11;8;13;6;16;-;137
"A17   Tuberc do sist nervoso";-;-;-;-;-;1;-;1;-;-;-;-;1;-;1;-;1;2;2;-;-;9
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;3
"A19   Tuberc miliar";-;-;1;-;-;-;2;2;-;-;1;-;1;2;3;2;2;1;2;1;-;20
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"A27   Leptospirose";-;-;-;-;-;-;2;1;-;-;2;-;4;3;4;1;-;-;-;-;-;17
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"A31   Infecc dev outr micobacterias";-;-;1;-;-;-;-;-;-;2;1;-;-;1;1;1;-;2;-;1;-;10
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3
"A37   Coqueluche";-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"A39   Infecc meningogocica";-;-;4;8;14;8;6;3;4;7;1;5;4;7;2;1;-;-;1;1;-;76
"A40   Septicemia estreptococica";-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;1;2;4;-;11
"A41   Outr septicemias";-;-;56;15;3;4;6;13;11;12;11;20;30;50;54;64;90;137;165;537;1;1279
"A42   Actinomicose";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A46   Erisipela";-;-;-;-;-;-;-;-;1;-;-;1;3;7;10;9;21;18;24;80;-;174
"A48   Outr doenc bacter NCOP";-;1;-;-;-;-;-;-;1;-;-;3;1;2;-;1;2;3;2;13;-;29
"A49   Infecc bacter de localiz NE";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;3;-;8
"A50   Sifilis congen";1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
