 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Fem
Período:2012
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3
"A04   Outr infecc intestinais bacter";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;5;17;-;28
"A05   Outr intox alimentares bacter NCOP";-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;4
"A06   Amebiase";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;2;-;7
"A08   Infecc intestinais virais outr e as NE";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;2;3;-;10
"A09   Diarreia e gastroenterite orig infecc presum";-;1;22;-;3;2;-;-;1;3;2;1;5;3;9;12;11;20;32;38;178;-;343
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;2;4;-;-;2;2;2;1;-;3;1;1;2;-;20
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;1;-;1;4;6;5;2;2;16;11;6;14;13;8;12;6;21;-;128
"A17   Tuberc do sist nervoso";-;-;-;-;1;-;-;1;1;1;1;1;-;-;1;-;1;2;-;-;-;-;10
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;3;2;-;2;1;-;12
