 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Fem
Período:2013
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A04   Outr infecc intestinais bacter";-;-;2;1;-;-;-;-;-;1;-;-;-;-;5;1;-;5;2;16;-;33
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A06   Amebiase";-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;3;-;6
"A07   Outr doenc intestinais p/protozoarios";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A08   Infecc intestinais virais outr e as NE";-;-;5;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;6;-;15
"A09   Diarreia e gastroenterite orig infecc presum";-;-;17;6;1;2;-;-;1;1;3;3;9;8;14;16;15;21;43;195;-;355
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;3;-;3;6;2;1;2;3;1;4;2;3;4;-;34
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;1;4;4;6;11;14;12;7;12;18;9;11;14;5;14;-;142
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;1;-;1;-;-;1;-;1;1;-;1;-;-;-;-;6
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;4
"A19   Tuberc miliar";-;-;-;-;-;1;-;-;1;1;-;-;-;3;2;-;-;1;-;1;-;10
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2
"A27   Leptospirose";-;-;-;-;-;-;1;-;2;1;2;1;1;1;2;-;1;1;1;-;-;14
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;2;1;-;8
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;1;3;-;2;7;-;18
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;3
"A37   Coqueluche";-;1;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"A39   Infecc meningogocica";-;-;3;11;8;4;4;5;2;3;1;2;5;2;5;3;2;3;-;-;-;63
"A40   Septicemia estreptococica";-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;2;13;-;19
"A41   Outr septicemias";-;-;61;15;6;4;10;6;10;15;18;22;30;61;67;78;106;136;167;571;-;1383
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A46   Erisipela";-;-;-;-;-;-;-;1;1;-;-;-;3;11;9;15;13;32;16;94;-;195
"A48   Outr doenc bacter NCOP";-;-;-;1;-;-;-;1;-;2;1;1;-;1;2;2;1;4;3;16;-;35
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;2;-;7
"A50   Sifilis congen";5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;4
"A54   Infecc gonococica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"A56   Outr infecc p/clamidias transm p/via sexual";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A60   Infecc anogenitais p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A63   Outr doenc de transm predom sexual NCOP";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A69   Outr infecc p/espiroquetas";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"A77   Febre maculosa";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;3;-;2;-;-;9
"A82   Raiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
