 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Fem
Período:2010
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"A04   Outr infecc intestinais bacter";-;-;-;1;2;-;1;-;-;-;-;1;-;-;-;-;1;1;4;13;-;24
"A05   Outr intox alimentares bacter NCOP";-;-;3;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;1;-;8
"A06   Amebiase";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;3;-;8
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;2;1;7;-;14
"A09   Diarreia e gastroenterite orig infecc presum";-;1;16;6;-;2;-;2;-;1;2;2;5;8;8;18;19;42;51;166;-;349
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;1;2;1;-;-;3;-;1;3;1;2;-;1;-;-;15
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;1;-;-;4;2;8;9;9;14;11;15;14;17;16;11;6;12;-;149
"A17   Tuberc do sist nervoso";-;-;-;1;-;1;-;1;1;-;-;-;1;-;1;-;1;-;-;-;-;7
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;2;1;3;-;10
"A19   Tuberc miliar";-;-;-;-;-;-;-;2;3;1;1;-;3;2;-;1;2;-;-;2;-;17
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A22   Carbunculo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;4
"A27   Leptospirose";-;-;-;-;-;1;1;2;-;1;-;-;1;2;-;1;2;-;-;-;-;11
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;1;-;5
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;4
"A37   Coqueluche";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"A39   Infecc meningogocica";-;-;22;20;10;7;9;3;4;3;3;-;6;-;-;3;1;1;-;-;-;92
"A40   Septicemia estreptococica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;7;-;9
"A41   Outr septicemias";-;-;51;12;4;8;7;5;9;9;16;22;27;52;46;69;91;124;137;463;-;1152
"A46   Erisipela";-;-;1;-;-;-;-;-;-;-;1;1;1;10;5;14;17;23;18;77;-;168
"A48   Outr doenc bacter NCOP";-;-;1;-;-;-;1;-;-;1;-;1;1;1;3;3;2;1;6;5;-;26
"A49   Infecc bacter de localiz NE";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;5
"A50   Sifilis congen";2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"A60   Infecc anogenitais p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A77   Febre maculosa";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A79   Outr rickettsioses";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;-;-;-;-;6
"A85   Outr encefalites virais NCOP";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"A86   Encefalite viral NE";-;-;-;1;1;1;-;1;2;-;2;-;1;2;-;-;1;-;-;3;-;15
"A87   Meningite viral";-;-;1;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;2;-;7
"A90   Dengue";-;-;1;-;-;1;-;1;1;2;3;2;1;1;1;-;2;2;-;6;-;24
"A91   Febre hemorragica dev virus do dengue";-;-;2;2;5;1;1;1;1;5;2;3;3;5;1;-;6;2;5;4;-;49
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
"B00   Infecc p/virus do herpes";-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;1;2;1;2;-;10
"B01   Varicela";-;-;1;16;2;-;1;-;-;-;-;-;2;1;-;-;-;1;-;1;-;25
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;5;-;9
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;1;1;2;-;1;-;-;3;5;2;-;15
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;1;3;3;3;7;3;15;14;11;10;2;3;-;75
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;1;1;2;9;13;13;49;45;44;37;37;28;-;279
"B19   Hepatite viral NE";-;-;-;-;1;-;-;-;2;1;3;-;4;3;4;2;-;4;-;-;-;24
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;2;2;-;3;5;14;53;106;140;134;104;71;51;25;15;8;1;-;2;736
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;1;-;3;2;2;2;2;-;-;-;-;-;-;12
"B22   Doenc p/HIV result em outr doenc espec";-;-;1;-;-;-;2;1;6;14;29;21;28;9;10;6;1;-;-;1;-;129
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;1;-;-;1;-;2;9;1;2;2;1;-;-;-;-;-;-;19
"B24   Doenc p/HIV NE";-;-;2;-;-;1;1;3;3;23;18;19;13;5;9;10;7;-;1;1;1;117
"B25   Doenc p/citomegalovirus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"B27   Mononucleose infecc";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B34   Doenc p/virus de localiz NE";-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;5
"B37   Candidiase";-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;1;1;-;1;-;7
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;3
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B45   Criptococose";-;-;-;-;-;-;-;1;1;1;1;2;-;-;-;1;-;-;-;-;-;7
"B49   Micose NE";-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"B50   Malaria p/Plasmodium falciparum";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"B54   Malaria NE";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2
"B55   Leishmaniose";-;-;-;2;-;-;-;2;-;2;-;1;1;-;-;-;-;-;-;1;-;9
"B57   Doenc de Chagas";-;-;-;-;-;-;-;1;1;1;6;12;15;27;40;54;63;69;88;116;-;493
"B58   Toxoplasmose";-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;4
"B59   Pneumocistose";-;-;-;-;-;-;-;-;-;2;-;-;-;1;2;-;-;-;-;-;-;5
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;2;1;4;1;1;10;3;9;4;2;-;37
"B67   Equinococose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;2;3;1;1;-;1;-;2;2;-;-;12
"B74   Filariose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
