 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Período:2017
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A03   Shiguelose";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A04   Outr infecc intestinais bacter";-;-;7;-;1;-;1;-;1;-;-;-;3;2;2;4;2;9;8;12;45;-;97
"A05   Outr intox alimentares bacter NCOP";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"A06   Amebiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;4;-;1;3;-;10
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;1;3;5;-;14
"A09   Diarreia e gastroenterite orig infecc presum";-;2;26;-;13;3;1;1;2;1;1;7;7;9;16;18;36;47;60;73;363;-;686
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;1;-;-;-;3;8;5;12;15;15;15;21;19;9;11;12;7;-;153
"A16   Tuberc vias respirat s/conf bacter histol";-;-;1;-;1;-;1;4;26;21;42;41;50;67;76;79;72;47;31;35;40;16;650
"A17   Tuberc do sist nervoso";-;-;-;-;-;1;-;1;1;2;2;4;2;1;4;2;3;2;1;-;-;-;26
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;2;2;1;2;1;3;2;2;2;1;1;3;2;-;25
"A19   Tuberc miliar";-;-;-;-;-;1;-;1;3;5;5;4;7;5;7;7;6;4;4;5;4;1;69
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;-;6
"A27   Leptospirose";-;-;-;-;-;1;1;-;3;2;5;6;7;12;6;9;4;4;2;-;-;-;62
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;-;6
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;1;2;1;-;4;1;4;7;4;5;4;4;15;-;52
"A32   Listeriose";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"A37   Coqueluche";-;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"A38   Escarlatina";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A39   Infecc meningogocica";-;-;7;-;13;5;2;5;5;2;3;3;3;4;5;4;2;3;1;-;-;-;67
"A40   Septicemia estreptococica";-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;1;1;4;4;12;-;25
"A41   Outr septicemias";-;-;100;-;20;13;9;24;28;27;38;59;83;102;141;200;244;356;406;429;1336;5;3620
"A42   Actinomicose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;2
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;3;4;1;8;14;25;47;48;36;50;181;-;417
"A48   Outr doenc bacter NCOP";-;1;-;-;1;1;1;-;1;1;-;-;1;-;2;6;5;10;10;12;35;-;87
"A49   Infecc bacter de localiz NE";-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;2;1;5;5;2;14;-;32
"A50   Sifilis congen";16;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"A51   Sifilis precoce";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;3
"A52   Sifilis tard";-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;-;2;1;-;3;1;-;11
"A53   Outr form e as NE da sifilis";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"A54   Infecc gonococica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A56   Outr infecc p/clamidias transm p/via sexual";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;3
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"A77   Febre maculosa";-;-;-;-;2;1;-;-;1;2;4;1;1;1;1;3;1;2;-;-;-;-;20
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;2;-;-;-;1;-;3;1;2;2;4;1;1;-;17
"A85   Outr encefalites virais NCOP";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
"A86   Encefalite viral NE";-;1;-;-;1;4;2;1;1;2;4;2;7;6;-;3;5;7;-;2;3;-;51
"A87   Meningite viral";-;-;1;-;-;-;-;1;2;-;-;-;1;1;2;1;1;2;3;2;3;-;20
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A90   Dengue";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;1;3;-;7
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;1;1;-;-;-;6
"A92   Outr febres virais transm p/mosquitos";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2
"A95   Febre amarela";-;-;-;-;-;-;-;-;-;2;-;1;1;4;1;1;-;2;-;1;-;-;13
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;-;-;-;2;-;1;-;2;1;3;2;-;2;1;-;14
"B00   Infecc p/virus do herpes";-;-;2;-;2;-;-;-;-;-;1;-;-;2;2;3;4;2;4;2;7;-;31
"B01   Varicela";-;-;1;-;2;1;-;-;1;-;1;-;-;-;-;-;1;1;-;-;1;-;9
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;1;4;3;10;-;23
"B05   Sarampo";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B06   Rubeola";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;1;-;-;4
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;1;1;1;2;1;3;5;5;2;2;3;5;-;31
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;1;-;2;1;8;7;10;10;3;6;4;2;-;54
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;1;4;4;27;48;90;101;100;87;64;50;40;-;616
"B19   Hepatite viral NE";-;-;-;-;-;1;-;-;2;3;3;1;2;4;6;4;6;3;5;3;2;-;45
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;1;-;-;1;-;12;74;100;163;215;221;250;243;148;94;68;35;20;9;7;1661
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;1;1;9;5;11;13;8;11;3;6;-;2;-;-;-;70
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;1;7;13;22;28;27;29;32;23;19;10;10;4;3;1;229
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;-;-;1;1;-;2;-;4;4;1;-;-;-;-;-;13
"B24   Doenc p/HIV NE";-;-;-;-;-;1;-;1;4;11;11;31;29;31;35;24;14;8;8;2;1;2;213
"B25   Doenc p/citomegalovirus";-;-;3;-;1;2;-;-;-;-;1;-;1;-;-;1;-;3;-;1;-;-;13
"B26   Caxumba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;6
"B33   Outr doenc p/virus NCOP";-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;5
"B34   Doenc p/virus de localiz NE";-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;-;2;-;2;-;8
"B37   Candidiase";-;-;4;-;-;-;1;-;-;-;-;-;-;1;1;-;1;2;-;4;4;-;18
"B38   Coccidioidomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B39   Histoplasmose";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;1;-;5
