 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Período:2018
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;3
"A03   Shiguelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A04   Outr infecc intestinais bacter";-;-;4;2;-;-;-;-;1;1;4;2;2;4;8;5;7;8;16;68;-;132
"A05   Outr intox alimentares bacter NCOP";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"A06   Amebiase";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3;-;3;-;8
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;4;5;7;-;18
"A09   Diarreia e gastroenterite orig infecc presum";-;-;27;16;5;-;4;1;3;4;2;12;4;24;27;30;30;73;81;381;-;724
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;7;9;5;16;10;10;14;16;18;22;12;7;14;2;162
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;1;-;3;12;20;31;36;53;65;71;83;70;48;30;34;33;7;597
"A17   Tuberc do sist nervoso";-;-;-;-;1;-;2;3;1;1;3;2;2;5;1;4;1;-;1;-;-;27
"A18   Tuberc de outr orgaos";-;-;-;-;-;1;-;2;1;3;-;1;2;-;1;2;2;3;1;2;-;21
"A19   Tuberc miliar";-;-;-;-;-;-;-;8;8;4;7;8;13;10;11;11;7;9;2;4;-;102
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;4
"A22   Carbunculo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A25   Febres transm p/mordedura de rato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;3
"A27   Leptospirose";-;-;-;-;1;2;1;5;4;3;4;5;10;7;8;10;2;2;2;1;-;67
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;2;2;5;-;12
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;1;-;1;-;-;-;-;4;4;9;5;4;13;20;-;61
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;2;-;-;-;6
"A36   Difteria";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A37   Coqueluche";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"A39   Infecc meningogocica";-;-;6;13;1;3;2;1;2;1;3;1;4;3;2;4;1;1;1;2;-;51
"A40   Septicemia estreptococica";-;-;-;-;1;-;-;-;-;-;-;1;-;2;-;-;3;1;5;16;-;29
"A41   Outr septicemias";-;-;90;21;9;12;16;24;29;21;47;61;102;137;173;228;276;357;411;1254;3;3271
"A42   Actinomicose";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;-;2;-;7
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;3
"A46   Erisipela";-;-;-;-;-;-;1;-;-;1;2;4;11;23;33;37;48;44;62;193;-;459
"A48   Outr doenc bacter NCOP";1;-;-;1;2;-;-;-;-;-;2;2;1;4;3;7;6;2;11;39;-;81
