 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Período:2010
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;4
"A04   Outr infecc intestinais bacter";-;-;4;-;1;2;-;2;-;-;1;-;1;1;-;3;2;1;3;7;18;-;46
"A05   Outr intox alimentares bacter NCOP";-;-;5;-;-;-;-;-;-;-;-;-;1;1;-;1;2;-;-;1;1;-;12
"A06   Amebiase";-;-;3;-;1;-;-;-;-;-;-;-;-;1;-;-;2;1;3;3;6;-;20
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;3;5;3;10;-;25
"A09   Diarreia e gastroenterite orig infecc presum";1;2;49;-;16;2;6;-;3;-;6;4;8;13;25;20;34;32;71;89;270;-;651
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;2;4;3;5;1;15;11;10;13;9;10;4;4;2;1;94
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;3;1;-;6;16;23;40;44;53;86;87;73;65;48;40;28;43;7;663
"A17   Tuberc do sist nervoso";-;-;-;-;1;-;1;-;3;1;-;-;-;4;1;2;1;1;2;1;1;-;19
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;1;1;-;1;1;1;1;2;1;2;5;-;4;2;3;-;25
"A19   Tuberc miliar";-;-;-;-;-;-;-;1;2;5;2;5;1;8;5;4;3;7;2;-;4;-;49
"A21   Tularemia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2
"A22   Carbunculo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A23   Brucelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;3;1;1;2;-;10
"A27   Leptospirose";-;-;-;-;-;-;2;3;3;9;6;6;12;2;8;9;8;4;5;1;-;-;78
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;4;3;-;1;-;12
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;1;-;3;3;2;1;1;2;2;3;1;-;19
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;-;-;-;-;6
"A37   Coqueluche";-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"A39   Infecc meningogocica";-;1;41;-;47;26;17;20;10;7;6;3;1;9;2;4;4;1;2;-;2;-;203
"A40   Septicemia estreptococica";-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;1;4;6;4;9;-;29
"A41   Outr septicemias";-;-;122;-;28;7;14;18;15;23;29;47;58;95;114;128;169;192;244;278;764;5;2350
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A46   Erisipela";-;-;1;-;-;-;-;-;-;-;1;3;3;9;22;22;28;27;35;35;102;-;288
"A48   Outr doenc bacter NCOP";-;-;2;-;1;-;1;1;-;1;4;-;1;2;2;4;3;8;3;14;11;-;58
"A49   Infecc bacter de localiz NE";-;1;-;-;-;-;-;1;2;-;-;-;-;-;1;2;-;1;3;1;4;-;16
"A50   Sifilis congen";5;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"A60   Infecc anogenitais p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A77   Febre maculosa";-;-;-;-;-;1;2;1;2;1;-;3;1;-;-;-;-;-;-;-;-;-;11
"A79   Outr rickettsioses";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3;3;1;2;2;-;13
"A85   Outr encefalites virais NCOP";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"A86   Encefalite viral NE";-;-;1;-;4;1;1;-;4;3;1;2;3;4;3;2;1;4;-;-;3;-;37
"A87   Meningite viral";-;-;2;-;1;-;-;1;-;-;2;-;-;1;2;1;-;-;-;2;3;-;15
"A90   Dengue";-;-;1;-;-;-;2;-;1;2;3;3;2;1;2;2;3;4;4;4;13;-;47
"A91   Febre hemorragica dev virus do dengue";-;-;3;-;4;9;1;1;3;3;6;7;6;4;6;3;2;7;4;10;5;-;84
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;1;1;-;-;-;-;1;2;-;-;-;-;-;-;-;-;5
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;4
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
"B00   Infecc p/virus do herpes";-;-;1;-;2;-;-;-;1;-;2;2;-;2;1;2;-;2;3;1;2;-;21
"B01   Varicela";-;-;5;-;28;8;2;1;-;-;-;-;-;2;2;-;-;2;1;-;1;-;52
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;2;2;9;-;17
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;4
"B16   Hepatite aguda B";-;-;-;-;-;-;-;1;1;2;2;3;1;8;4;9;2;3;4;8;3;-;51
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;1;3;7;12;27;22;35;21;18;14;4;5;-;169
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;1;2;8;16;37;76;80;130;103;83;68;61;44;-;709
"B19   Hepatite viral NE";-;-;-;-;-;2;-;2;1;3;3;4;1;9;8;8;7;2;7;-;-;-;57
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;6;-;3;3;4;12;57;142;277;372;455;348;211;145;74;45;18;9;4;7;2192
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;1;5;10;11;11;6;6;6;2;1;1;-;-;-;60
"B22   Doenc p/HIV result em outr doenc espec";-;-;1;-;-;-;1;3;10;21;50;73;77;69;37;24;22;3;4;4;2;1;402
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;1;-;-;2;-;3;12;3;4;3;1;-;-;-;-;-;-;29
"B24   Doenc p/HIV NE";-;-;2;-;-;-;1;1;6;13;49;47;79;50;23;31;18;12;3;2;2;1;340
"B25   Doenc p/citomegalovirus";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5;1;1;-;-;-;-;8
"B26   Caxumba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"B27   Mononucleose infecc";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"B33   Outr doenc p/virus NCOP";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"B34   Doenc p/virus de localiz NE";-;-;1;-;-;-;-;-;2;1;-;1;1;1;1;-;-;1;3;1;2;-;15
"B37   Candidiase";-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;1;3;1;-;5;-;14
"B39   Histoplasmose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;3
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;1;1;3;2;4;3;2;2;-;2;-;20
"B41   Paracoccidioidomicose";-;-;-;-;1;-;-;-;-;-;1;-;-;2;1;2;-;2;2;-;1;-;12
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;3
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;1;-;5
"B45   Criptococose";-;-;-;-;-;-;-;-;2;4;2;3;2;1;-;2;2;-;1;1;-;-;20
"B47   Micetoma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"B48   Outr micoses NCOP";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;4
"B49   Micose NE";-;1;5;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;10
"B50   Malaria p/Plasmodium falciparum";-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"B54   Malaria NE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2
"B55   Leishmaniose";-;-;1;-;2;-;-;-;2;1;3;-;3;1;2;2;-;-;1;2;3;-;23
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;2;4;7;24;29;47;78;102;129;146;143;144;215;-;1070
"B58   Toxoplasmose";-;-;-;-;-;-;-;-;-;1;-;2;1;3;2;-;1;1;-;-;-;-;11
"B59   Pneumocistose";-;-;-;-;-;-;-;-;1;-;2;3;2;-;3;2;-;-;-;1;-;-;14
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;6;4;8;9;4;16;6;16;4;4;-;77
"B67   Equinococose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;1;-;4
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;1;3;3;2;1;-;3;1;2;2;1;-;19
"B74   Filariose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"B77   Ascaridiase";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;-;4
"B86   Escabiose";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B87   Miiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;1;-;-;3;-;10
"B89   Doenc parasit NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;2;1;8;6;1;6;9;4;7;9;12;20;-;85
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;1;-;-;-;1;3;-;2;3;-;-;-;1;-;11
"B92   Sequelas de hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;1;-;-;1;-;-;-;1;-;1;3;-;1;-;1;-;3;-;12
"B99   Doenc infecc outr e as NE";-;-;1;-;1;-;-;2;-;-;-;-;-;1;1;-;1;1;1;-;4;-;13
"C00   Neopl malig do labio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;3;4;2;-;12
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;1;1;8;7;24;19;19;13;10;8;10;-;120
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;2;7;13;25;52;55;38;36;23;17;25;1;294
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;1;-;-;5
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;4;11;7;8;2;9;2;5;6;-;54
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;1;-;-;3;3;5;11;11;9;4;7;-;54
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;2;5;6;15;24;26;30;26;31;21;28;-;214
