 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Período:2020
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;3
"A04   Outr infecc intestinais bacter";-;-;3;-;-;-;2;-;2;1;1;2;2;2;3;6;7;12;17;22;86;-;168
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"A06   Amebiase";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;3;-;7
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;1;4;-;11
"A09   Diarreia e gastroenterite orig infecc presum";-;-;19;-;5;2;-;1;3;1;7;10;7;11;15;16;39;45;62;78;310;-;631
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;1;-;-;-;1;1;7;4;12;12;22;14;17;31;36;18;16;9;10;1;212
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;2;-;-;7;12;24;38;46;52;72;72;66;68;67;45;27;30;8;636
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;-;1;1;3;2;3;-;2;2;-;1;1;-;1;-;17
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;-;2;2;1;1;1;2;-;2;1;-;2;-;14
"A19   Tuberc miliar";-;-;-;-;-;-;-;2;-;5;8;4;7;4;11;3;5;1;3;3;6;-;62
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;3
"A25   Febres transm p/mordedura de rato";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"A27   Leptospirose";-;-;-;-;-;-;1;1;6;2;2;7;9;6;5;5;9;3;2;-;1;-;59
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;3;1;2;2;-;11
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;1;-;-;-;1;1;3;2;4;3;3;5;12;-;35
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;4
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;4
"A37   Coqueluche";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A39   Infecc meningogocica";-;2;6;-;5;1;-;2;1;-;-;1;1;-;1;3;1;-;-;2;1;-;27
"A40   Septicemia estreptococica";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;5;-;9
"A41   Outr septicemias";-;-;70;-;26;7;6;13;18;35;53;59;96;109;159;211;321;378;438;501;1459;3;3962
"A42   Actinomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;1;-;6
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A46   Erisipela";-;-;-;-;-;-;-;1;-;2;-;5;7;14;22;35;30;40;61;69;201;-;487
"A48   Outr doenc bacter NCOP";-;2;1;-;-;-;-;-;-;-;-;2;1;1;2;4;4;10;7;10;32;-;76
"A49   Infecc bacter de localiz NE";-;1;1;-;-;-;-;-;-;-;-;-;-;2;5;3;5;8;7;9;19;-;60
"A50   Sifilis congen";21;4;2;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;30
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;2;-;3;-;1;-;4;1;1;-;12
"A53   Outr form e as NE da sifilis";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"A58   Granuloma inguinal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A64   Doenc sexualmente transm NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"A68   Febres recorrentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;3
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A70   Infecc causadas p/Clamidia psittaci";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A74   Outr doenc causadas p/Clamidias";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A77   Febre maculosa";-;-;-;-;2;1;2;-;-;1;-;4;2;5;6;3;-;3;-;-;1;-;30
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;1;1;-;1;1;-;4;3;3;7;3;2;1;-;27
"A86   Encefalite viral NE";-;1;-;-;2;1;-;-;-;2;-;5;2;-;3;1;5;2;4;2;5;-;35
"A87   Meningite viral";-;-;1;-;-;-;-;-;1;2;1;1;3;3;1;2;4;1;2;1;1;-;24
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A90   Dengue";-;-;1;-;-;-;-;1;2;4;4;3;2;2;8;1;5;7;7;5;27;-;79
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;1;1;1;3;-;2;1;3;8;4;4;2;2;3;9;7;9;-;60
"A92   Outr febres virais transm p/mosquitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A96   Febre hemorragica p/arenavirus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;2;1;2;1;-;-;1;2;-;-;-;1;1;-;11
"A99   Febres hemorragicas virais NE";-;-;-;-;1;-;-;-;-;2;2;-;1;1;3;1;-;-;-;-;-;-;11
"B00   Infecc p/virus do herpes";-;-;-;-;2;-;1;-;-;-;-;-;-;1;-;1;2;4;5;3;12;-;31
"B01   Varicela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;4;2;1;1;6;18;-;35
"B05   Sarampo";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;3
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;3;2;4;1;2;3;-;19
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;1;-;-;-;6;2;5;3;5;3;2;4;-;31
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;1;2;-;12;19;26;46;62;78;69;41;20;30;-;406
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;1;3;1;4;3;7;1;3;4;3;3;4;-;37
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;3;-;-;-;-;2;49;92;118;153;192;205;167;133;103;56;42;15;14;3;1347
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;1;4;3;8;9;5;10;7;9;9;2;2;2;-;-;71
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;4;6;20;30;26;19;23;27;10;7;6;4;3;-;185
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;-;-;3;4;1;1;1;2;-;1;2;-;-;-;-;15
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;2;7;20;20;33;39;38;43;45;41;20;14;7;12;-;341
"B25   Doenc p/citomegalovirus";-;-;2;-;-;-;1;-;-;2;-;-;-;1;2;2;-;1;2;1;-;-;14
"B26   Caxumba";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"B27   Mononucleose infecc";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B33   Outr doenc p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B34   Doenc p/virus de localiz NE";-;1;20;-;21;15;22;48;112;217;454;814;1256;1731;2441;3555;5101;6186;6405;6040;13156;1;47596
"B37   Candidiase";-;-;6;-;-;-;-;-;-;-;-;1;-;1;1;3;4;1;2;2;10;-;31
"B39   Histoplasmose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;-;-;1;-;7
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;-;1;-;1;-;-;2;2;1;2;1;-;2;-;-;12
"B42   Esporotricose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;3
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;3;2;1;2;-;12
