 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Período:2014
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A03   Shiguelose";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A04   Outr infecc intestinais bacter";-;-;5;-;-;-;-;1;-;-;1;1;-;4;10;2;8;13;6;24;-;75
"A05   Outr intox alimentares bacter NCOP";-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;6
"A06   Amebiase";-;-;-;-;-;-;-;1;-;1;1;1;-;1;-;2;-;-;1;4;-;12
"A07   Outr doenc intestinais p/protozoarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"A08   Infecc intestinais virais outr e as NE";-;-;2;1;-;-;-;-;1;-;-;-;1;-;-;-;1;3;2;7;-;18
"A09   Diarreia e gastroenterite orig infecc presum";1;4;35;11;2;3;2;2;2;3;5;13;11;20;25;41;42;52;82;269;-;625
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;1;-;-;-;2;1;5;5;15;8;15;20;13;12;8;8;2;6;1;122
"A16   Tuberc vias respirat s/conf bacter histol";-;-;1;-;-;-;6;17;28;31;33;65;60;79;62;67;43;36;29;35;8;600
"A17   Tuberc do sist nervoso";-;-;-;2;-;-;-;3;-;3;-;-;1;-;3;1;1;-;1;1;-;16
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;-;-;2;1;4;1;1;4;-;-;-;-;-;14
"A19   Tuberc miliar";-;-;-;-;-;1;-;2;1;5;7;9;10;5;7;9;2;2;6;2;-;68
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;-;2;-;7
"A27   Leptospirose";-;-;-;-;-;5;4;4;5;7;6;6;4;11;12;5;3;3;1;4;-;80
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;3;-;7
"A31   Infecc dev outr micobacterias";-;-;1;-;-;-;-;1;3;-;-;-;1;1;5;5;9;6;3;9;-;44
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;2;-;-;5
"A37   Coqueluche";-;2;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37
"A38   Escarlatina";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
