 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Período:2011
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;1;-;-;5
"A03   Shiguelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A04   Outr infecc intestinais bacter";-;-;6;-;1;-;1;-;-;-;-;-;-;-;-;3;1;5;7;4;14;-;42
"A05   Outr intox alimentares bacter NCOP";-;1;3;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;2;-;11
"A06   Amebiase";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;1;-;3;8;-;16
"A07   Outr doenc intestinais p/protozoarios";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;1;3;7;6;-;13;-;34
"A09   Diarreia e gastroenterite orig infecc presum";-;1;37;-;17;4;5;2;2;2;5;8;8;7;24;13;31;36;45;59;265;-;571
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;3;4;4;3;8;9;17;13;18;6;5;4;8;4;1;107
"A16   Tuberc vias respirat s/conf bacter histol";-;-;3;-;2;-;-;6;11;26;31;43;53;74;88;74;61;42;46;27;41;5;633
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;1;-;5;1;1;5;-;3;-;1;-;2;2;2;2;-;25
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;1;1;1;1;-;3;2;2;-;2;3;3;2;-;21
"A19   Tuberc miliar";-;-;1;-;-;-;-;2;4;2;2;2;6;7;7;9;4;3;1;4;3;-;57
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
