 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Masc
Período:2016
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;1;3;-;2;-;10
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;1;1;-;1;-;8
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A41   Outr septicemias";-;-;4;1;-;-;-;-;-;-;-;1;-;-;4;3;5;5;6;10;-;39
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;3;-;7
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;4
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"A50   Sifilis congen";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;3
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;6;2;2;-;-;-;18
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;1;2;4;4;4;2;9;3;4;1;-;1;1;-;36
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;1;-;-;-;-;-;5
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B45   Criptococose";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"B55   Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;4;-;4;-;12
