 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Masc
Período:2010
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;2;1;3;9
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;4
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A37   Coqueluche";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A39   Infecc meningogocica";-;-;-;1;1;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;6
"A41   Outr septicemias";-;-;3;-;-;-;-;1;-;-;-;1;1;1;-;3;1;4;5;7;27
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;1;4
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;3
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A77   Febre maculosa";-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;3
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B01   Varicela";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;1;4;8;2;2;2;3;2;1;25
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;1;-;4;8;9;2;4;4;2;2;1;-;-;37
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;1;-;-;5
"B37   Candidiase";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;1;-;3;2;3;3;5;-;3;20
"B99   Doenc infecc outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;1;6
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;1;6
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;3;2;-;-;-;12
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;1;1;2;4;5;5;2;4;1;1;26
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;1;1;3;1;7;6;7;4;10;7;14;61
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;1;-;5
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;2;4;-;3;5;4;13;15;7;10;63
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;4
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;2;2;1;4;14
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;-;4;2;9;12;6;5;5;2;45
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;5
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;-;1;2;5;5;6;7;4;3;6;39
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;8
"C31   Neopl malig dos seios da face";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;2;-;6;2;1;5;3;4;5;28
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;-;-;1;2;2;9;7;6;17;16;13;15;88
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;1;4
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;4
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;3
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C61   Neopl malig da prostata";-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;2;6;11;15;27;66
"C62   Neopl malig dos testiculos";-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;3
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;6;3;2;2;-;17
"C66   Neopl malig dos ureteres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;3;6;5;5;26
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"C71   Neopl malig do encefalo";-;-;-;1;1;2;1;1;1;1;-;1;-;1;1;1;-;2;3;2;19
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;1;6
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C74   Neopl malig da gland supra-renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;1;-;1;2;10
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;4
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;4
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;-;-;-;-;1;1;2;4;4;3;-;1;7;23
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;4;3;5;1;5;23
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;3;1;1;2;11
"C91   Leucemia linfoide";-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;2;1;-;1;2;9
"C92   Leucemia mieloide";-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;2;3;1;1;11
"C96   Outr neopl mal e NE tec linf hematop e corr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C97   Neopl malig de localiz mult independentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D46   Sindr mielodisplasicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;3
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"D50   Anemia p/defic de ferro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"D51   Anemia p/defic de vitamina B12";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D61   Outr anemias aplasticas";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2
"D62   Anemia aguda pos-hemorragica";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"D64   Outr anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D68   Outr defeitos da coagulacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"D69   Purpura e outr afeccoes hemorragicas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2
"D72   Outr transt dos globulos brancos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"D86   Sarcoidose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"E05   Tireotoxicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"E10   Diabetes mellitus insulino-dependente";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"E11   Diabetes mellitus nao-insulino-dependemte";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;-;-;3;8
"E12   Diabetes mellitus relac c/a desnutr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"E14   Diabetes mellitus NE";-;-;-;-;-;-;-;1;-;1;-;1;3;5;13;8;8;12;18;19;89
"E16   Outr transt da secrecao pancreatica interna";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"E43   Desnutric proteico-calorica grave NE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"E46   Desnutric proteico-calorica NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;2;2;5;13
"E63   Outr defic nutricionais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"E66   Obesidade";-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;-;1;-;-;-;6
"E78   Disturbios metab lipoproteinas e out lipidem";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;1;4
"E84   Fibrose cistica";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"E86   Deplecao de volume";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4
"F01   Demencia vascular";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"F03   Demencia NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;7;12
"F05   Delirium nao induz alcool outr subst psicoat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"F10   Transt mentais comport dev uso alcool";-;-;-;-;-;-;-;-;-;-;1;1;-;3;5;3;-;-;1;2;16
"F19   Transt ment comp mult drog out subst psicoat";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"F20   Esquizofrenia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"F32   Episodios depressivos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"G00   Meningite bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;3
"G03   Meningite dev outr causas e a causas NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"G10   Doenc de Huntington";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"G11   Ataxia hereditaria";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"G12   Atrofia muscular espinal e sindr correlatas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;3
"G20   Doenc de Parkinson";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;5;7;16
"G30   Doenc de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;5;28;39
"G31   Outr doenc degenerativas sist nervoso NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;3
"G40   Epilepsia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;3
"G61   Polineuropatia inflam";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"G62   Outr polineuropatias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"G71   Transt prim dos musculos";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"G80   Paralisia cerebral";-;-;-;1;-;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;5
"G93   Outr transt do encefalo";-;-;-;1;-;-;-;-;1;1;-;-;1;1;-;1;1;1;-;2;10
"I08   Doenc de mult valvas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"I09   Outr doenc reumaticas do coracao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"I10   Hipertensao essencial";-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;4;2;5;3;7;26
"I11   Doenc cardiaca hipertensiva";-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;4;4;2;-;11;26
"I12   Doenc renal hipertensiva";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;3;3;10
"I13   Doenc cardiaca e renal hipertensiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"I20   Angina pectoris";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"I21   Infarto agudo do miocardio";-;-;-;-;-;-;-;-;-;2;9;12;31;34;37;38;41;43;52;72;371
"I24   Outr doenc isquemicas agudas do coracao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;3;-;1;9
"I25   Doenc isquemica cronica do coracao";-;-;-;-;-;-;-;-;-;-;-;1;1;5;3;5;4;4;12;27;62
"I26   Embolia pulmonar";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;7
"I27   Outr form de doenc cardiaca pulmonar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;4
"I28   Outr doenc dos vasos pulmonares";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"I31   Outr doenc do pericardio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"I33   Endocardite aguda e subaguda";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;1;1;6
"I34   Transt nao-reumaticos da valva mitral";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;2;5
"I35   Transt nao-reumaticos da valva aortica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;2;3;1;10
"I36   Transt nao-reumaticos da valva tricuspide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"I38   Endocardite de valva NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;2;1;6
"I42   Cardiomiopatias";-;-;-;-;-;-;-;-;-;1;-;1;-;2;5;2;-;2;7;13;33
"I44   Bloqueio atrioventricular e do ramo esquerdo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"I45   Outr transt de conducao";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"I48   Flutter e fibrilacao atrial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;4;9
"I49   Outr arritmias cardiacas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;2;4;4;13
"I50   Insuf cardiaca";-;-;-;-;-;-;-;-;1;-;-;-;3;2;4;4;6;6;9;20;55
"I51   Complic cardiopatias doenc cardiacas mal def";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9;10
"I60   Hemorragia subaracnoide";-;-;-;-;-;-;-;-;-;-;1;-;-;4;1;2;2;1;-;2;13
"I61   Hemorragia intracerebral";-;-;-;-;-;-;1;-;-;4;2;3;5;5;5;6;8;5;3;8;55
"I62   Outr hemorragias intracranianas nao-traum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"I63   Infarto cerebral";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;3
"I64   Acid vasc cerebr NE como hemorrag isquemico";-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;6;9;7;12;15;56
"I67   Outr doenc cerebrovasculares";-;-;-;-;-;-;-;-;-;-;3;-;-;7;2;5;4;7;12;22;62
"I69   Sequelas de doenc cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;-;-;5;3;5;13;9;10;33;78
