Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Feminino
Período:2015
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Total"
"A04   Outr infecc intestinais bacter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"A09   Diarreia e gastroenterite orig infecc presum";1;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;3;2;2;0;0;12
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
"A32   Listeriose";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A35   Outr tipos de tetano";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"A41   Outr septicemias";0;0;0;0;0;0;0;1;1;0;0;3;1;4;5;7;5;5;4;0;0;36
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;5
"A49   Infecc bacter de localiz NE";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A63   Outr doenc de transm predom sexual NCOP";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"A90   Dengue";0;0;0;0;0;1;0;1;1;2;3;0;0;1;1;1;1;1;1;1;0;15
"B00   Infecc p/virus do herpes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;6
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;0;0;0;2;0;2;2;5;1;0;0;0;0;0;0;0;0;0;12
"B21   Doenc p/HIV result em neopl malig";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"B24   Doenc p/HIV NE";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B37   Candidiase";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B49   Micose NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"B57   Doenc de Chagas";0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3;6;0;0;0;0;12
"B58   Toxoplasmose";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B94   Sequelas de outr doenc infecc e parasit e NE";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3
"C04   Neopl malig do assoalho da boca";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"C05   Neopl malig do palato";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"C06   Neopl malig outr partes e partes NE da boca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
"C07   Neopl malig da gland parotida";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"C11   Neopl malig da nasofaringe";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"C15   Neopl malig do esofago";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;1;0;0;0;6
"C16   Neopl malig do estomago";0;0;0;0;0;0;0;2;0;0;1;5;4;2;4;4;4;5;0;0;0;31
"C17   Neopl malig do intestino delgado";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;3
"C18   Neopl malig do colon";0;0;0;0;1;0;2;0;1;3;3;5;8;6;2;4;5;7;3;3;0;53
"C19   Neopl malig da juncao retossigmoide";0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;5
"C20   Neopl malig do reto";0;0;0;0;0;0;1;0;0;3;2;3;1;0;2;4;2;1;2;0;0;21
"C21   Neopl malig do anus e do canal anal";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
"C22   Neopl malig figado vias biliares intra-hepat";0;0;0;0;0;0;0;0;0;2;2;1;4;1;2;1;2;2;0;0;0;17
"C23   Neopl malig da vesicula biliar";0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;4
"C24   Neopl malig outr partes e NE vias biliares";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;1;0;0;0;5
"C25   Neopl malig do pancreas";0;0;0;0;0;0;0;1;2;2;2;3;6;3;4;7;3;2;3;0;0;38
