Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;
Sexo: Feminino;;;;;;;;;;;;;;;;;;;;;;
Período:2019;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Total
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;1;0;0;0;0;0;0;1;1;2;1;4;3;5;4;1;0;23
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
A17   Tuberc do sist nervoso;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A27   Leptospirose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
A31   Infecc dev outr micobacterias;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
A39   Infecc meningogocica;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
A41   Outr septicemias;1;0;0;0;0;0;0;1;0;0;0;0;2;0;1;2;6;1;5;0;0;19
A46   Erisipela;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;2;2;0;0;7
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;3
A77   Febre maculosa;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
A86   Encefalite viral NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
A90   Dengue;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3
A98   Outr febres hemorragicas p/virus NCOP;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;3
B19   Hepatite viral NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;5
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
B24   Doenc p/HIV NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
B45   Criptococose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;1;1;2;0;3;2;3;3;3;3;3;0;0;24
B90   Sequelas de tuberc;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;4
B94   Sequelas de outr doenc infecc e parasit e NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
C04   Neopl malig do assoalho da boca;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
C10   Neopl malig da orofaringe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
C13   Neopl malig da hipofaringe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
C14   Neop mal out loc mal def labio cav oral far;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
C15   Neopl malig do esofago;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;1;0;0;0;0;6
C16   Neopl malig do estomago;0;0;0;0;0;0;1;3;1;3;3;3;2;3;4;8;3;4;2;1;0;41
C17   Neopl malig do intestino delgado;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
C18   Neopl malig do colon;0;0;0;0;0;0;0;1;3;6;6;5;8;8;16;14;3;9;4;2;0;85
C19   Neopl malig da juncao retossigmoide;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;4
C20   Neopl malig do reto;0;0;0;0;0;0;0;0;1;1;3;1;2;3;1;4;2;1;1;1;0;21
C22   Neopl malig figado vias biliares intra-hepat;0;0;0;0;0;0;0;1;0;2;1;3;5;5;0;3;3;2;2;0;0;27
C23   Neopl malig da vesicula biliar;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
C24   Neopl malig outr partes e NE vias biliares;0;0;0;0;0;0;0;0;1;0;1;2;2;3;4;7;1;1;0;0;0;22
C25   Neopl malig do pancreas;0;0;0;0;0;0;0;0;1;0;3;2;4;3;8;9;5;3;4;2;0;44
C26   Neopl malig outr mal def aparelho digestivo;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;5
C30   Neopl malig cavidade nasal e do ouvido medio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
C32   Neopl malig da laringe;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C34   Neopl malig dos bronquios e dos pulmoes;0;0;0;0;0;0;1;1;1;1;2;6;12;14;16;15;9;3;2;0;0;83
C38   Neopl malig do coracao mediastino e pleura;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2
C39   Neop mal out loc mal def ap resp org intrat;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
