Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Feminino
Período:2011
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";2;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;2;6;0;1;16
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
"A39   Infecc meningogocica";1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"A41   Outr septicemias";3;0;0;0;2;0;0;0;0;1;1;2;1;1;3;7;6;5;6;0;0;38
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;0;5
"A49   Infecc bacter de localiz NE";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B00   Infecc p/virus do herpes";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2
"B16   Hepatite aguda B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;0;1;0;2;1;0;3;2;1;0;0;0;0;10
"B20   Doenc p/HIV result doenc infecc e parasit";2;0;0;0;0;0;4;4;2;1;1;0;0;0;0;1;0;0;0;0;0;15
"B21   Doenc p/HIV result em neopl malig";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4
"B24   Doenc p/HIV NE";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
"B41   Paracoccidioidomicose";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B45   Criptococose";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2
"B49   Micose NE";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B57   Doenc de Chagas";0;0;0;0;0;0;0;0;0;0;0;2;0;3;3;4;4;1;0;0;0;17
"B65   Esquistossomose";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"B69   Cisticercose";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"B78   Estrongiloidiase";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
"C06   Neopl malig outr partes e partes NE da boca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;3
"C07   Neopl malig da gland parotida";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"C10   Neopl malig da orofaringe";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
"C11   Neopl malig da nasofaringe";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2
"C15   Neopl malig do esofago";0;0;0;0;0;0;0;0;2;0;0;2;0;3;1;1;0;0;1;1;0;11
"C16   Neopl malig do estomago";0;0;0;0;0;0;1;0;0;1;0;2;3;1;5;7;6;2;2;0;0;30
"C17   Neopl malig do intestino delgado";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3
"C18   Neopl malig do colon";0;0;0;0;1;0;0;2;0;2;2;3;1;5;6;7;6;6;1;1;0;43
"C19   Neopl malig da juncao retossigmoide";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2
"C20   Neopl malig do reto";0;0;0;0;0;1;0;0;0;0;0;5;2;2;0;6;1;0;0;0;0;17
"C22   Neopl malig figado vias biliares intra-hepat";0;0;0;0;0;0;0;0;0;1;3;4;2;0;4;1;3;1;1;0;0;20
"C23   Neopl malig da vesicula biliar";0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;5
"C24   Neopl malig outr partes e NE vias biliares";0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;0;1;1;0;0;7
"C25   Neopl malig do pancreas";0;0;0;0;0;0;0;1;0;0;1;5;2;4;6;2;5;3;1;0;0;30
"C26   Neopl malig outr mal def aparelho digestivo";0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;3;1;0;0;1;0;10
"C31   Neopl malig dos seios da face";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C32   Neopl malig da laringe";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"C34   Neopl malig dos bronquios e dos pulmoes";0;0;0;0;0;0;0;1;2;2;5;3;9;6;11;7;6;4;0;0;0;56
"C37   Neopl malig do timo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"C38   Neopl malig do coracao mediastino e pleura";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;3
