Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;
Sexo: Feminino;;;;;;;;;;;;;;;;;;;;;;
Período:2022;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Total
A04   Outr infecc intestinais bacter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;0;0;0;0;1;1;2;0;1;0;0;1;4;5;1;3;1;20
A15   Tuberc respirat c/conf bacteriol e histolog;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;1;1;0;1;0;2;0;0;1;1;0;0;0;0;7
A41   Outr septicemias;0;0;0;0;0;0;1;0;0;1;2;1;3;4;6;5;7;8;5;2;0;45
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;3;3;1;1;1;13
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
A49   Infecc bacter de localiz NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
A91   Febre hemorragica dev virus do dengue;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
B02   Herpes zoster;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
B09   Inf viral NE caract p/lesoes pele membr muco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;5
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;0;1;1;1;3;2;4;1;0;1;1;0;0;0;0;0;0;15
B21   Doenc p/HIV result em neopl malig;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2
B24   Doenc p/HIV NE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
B25   Doenc p/citomegalovirus;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
B34   Doenc p/virus de localiz NE;0;0;0;0;0;2;1;0;3;6;10;10;20;29;32;43;45;44;47;16;2;310
B43   Cromomicose e abscesso feomicotico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;0;0;2;0;3;3;2;4;4;3;1;1;0;23
B59   Pneumocistose;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
B65   Esquistossomose;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
B90   Sequelas de tuberc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
B94   Sequelas de outr doenc infecc e parasit e NE;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C01   Neopl malig da base da lingua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
