Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;
Sexo: Feminino;;;;;;;;;;;;;;;;;;;;;;
Período:2016;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Total
A04   Outr infecc intestinais bacter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
A05   Outr intox alimentares bacter NCOP;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;1;3;1;0;11
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
A27   Leptospirose;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
A39   Infecc meningogocica;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A40   Septicemia estreptococica;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A41   Outr septicemias;2;0;0;0;0;1;0;1;0;1;1;2;4;1;2;5;2;10;3;3;0;38
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;4
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;4
B00   Infecc p/virus do herpes;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;0;0;3;0;2;1;1;3;1;0;0;0;0;11
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;0;0;1;2;2;6;4;2;1;2;1;0;0;0;0;0;0;21
B21   Doenc p/HIV result em neopl malig;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2
B24   Doenc p/HIV NE;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;3
B27   Mononucleose infecc;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B45   Criptococose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;6;0;1;0;0;12
B65   Esquistossomose;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
C07   Neopl malig da gland parotida;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C10   Neopl malig da orofaringe;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
C11   Neopl malig da nasofaringe;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3
C15   Neopl malig do esofago;0;0;0;0;0;0;0;0;0;0;1;2;1;2;3;1;1;1;1;0;0;13
C16   Neopl malig do estomago;0;0;0;0;0;0;0;0;0;2;1;2;2;5;2;3;3;7;2;0;0;29
C17   Neopl malig do intestino delgado;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C18   Neopl malig do colon;0;0;0;0;0;0;0;1;1;0;0;3;5;8;8;7;5;6;2;0;0;46
C19   Neopl malig da juncao retossigmoide;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;5
C20   Neopl malig do reto;0;0;0;0;0;0;0;0;0;5;1;1;1;0;1;2;2;2;0;1;0;16
C21   Neopl malig do anus e do canal anal;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;3
C22   Neopl malig figado vias biliares intra-hepat;0;0;0;0;0;0;0;0;0;0;2;2;4;0;8;5;3;1;3;0;0;28
C23   Neopl malig da vesicula biliar;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;2;0;0;0;0;0;6
C24   Neopl malig outr partes e NE vias biliares;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;2;0;0;0;7
C25   Neopl malig do pancreas;0;0;0;0;0;0;0;0;0;1;1;4;7;8;4;7;2;3;0;1;0;38
C26   Neopl malig outr mal def aparelho digestivo;0;0;0;0;0;0;0;0;0;1;0;1;0;3;1;1;1;2;4;1;0;15
C32   Neopl malig da laringe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
