Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;
Sexo: Feminino;;;;;;;;;;;;;;;;;;;;;;
Período:2018;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Total
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;2;0;1;7
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
A19   Tuberc miliar;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
A40   Septicemia estreptococica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
A41   Outr septicemias;3;0;0;0;0;1;1;0;0;0;0;1;3;3;6;8;4;8;2;1;0;41
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;1;0;2;8
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;6
A49   Infecc bacter de localiz NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
A77   Febre maculosa;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
A98   Outr febres hemorragicas p/virus NCOP;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
B02   Herpes zoster;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;0;1;0;0;0;6
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;0;0;2;2;2;1;3;0;0;1;0;0;0;0;0;0;0;11
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
B24   Doenc p/HIV NE;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
B34   Doenc p/virus de localiz NE;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B37   Candidiase;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
B45   Criptococose;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
B49   Micose NE;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;0;1;0;2;4;1;3;5;3;1;0;0;0;20
B69   Cisticercose;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
B94   Sequelas de outr doenc infecc e parasit e NE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
C01   Neopl malig da base da lingua;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;4
C03   Neopl malig da gengiva;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
C05   Neopl malig do palato;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;3
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
C07   Neopl malig da gland parotida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
C10   Neopl malig da orofaringe;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;1;0;1;0;6
C12   Neopl malig do seio piriforme;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C15   Neopl malig do esofago;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;3;0;1;0;0;0;10
C16   Neopl malig do estomago;0;0;0;0;0;0;0;1;1;1;1;1;2;3;2;1;2;7;1;3;0;26
C17   Neopl malig do intestino delgado;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;3
C18   Neopl malig do colon;0;0;0;0;0;0;1;0;2;2;1;2;4;14;9;5;7;5;3;1;0;56
C19   Neopl malig da juncao retossigmoide;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;3
C20   Neopl malig do reto;0;0;0;0;0;0;0;0;0;0;2;1;2;2;0;2;1;1;2;1;0;14
C21   Neopl malig do anus e do canal anal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
C22   Neopl malig figado vias biliares intra-hepat;0;0;0;0;0;0;0;0;0;0;0;2;4;5;3;1;6;2;2;0;1;26
C23   Neopl malig da vesicula biliar;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2
C24   Neopl malig outr partes e NE vias biliares;0;0;0;0;0;0;0;1;0;0;0;1;2;1;1;2;1;0;1;0;0;10
C25   Neopl malig do pancreas;0;0;0;0;0;0;0;0;0;3;1;5;4;2;6;9;5;6;5;0;0;46
C26   Neopl malig outr mal def aparelho digestivo;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;3;4;1;0;1;0;15
C32   Neopl malig da laringe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
C34   Neopl malig dos bronquios e dos pulmoes;0;0;0;0;0;0;0;0;1;3;2;10;12;17;14;6;5;10;4;0;0;84
C38   Neopl malig do coracao mediastino e pleura;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;5
C39   Neop mal out loc mal def ap resp org intrat;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
C40   Neopl malig ossos/cartilag artic membros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
C41   Neopl malig ossos/cartil artic outr loc e NE;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;5
C43   Melanoma malig da pele;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;2;0;0;0;6
C44   Outr neopl malig da pele;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;5
C48   Neopl malig tec moles retro- e peritonio;0;0;0;0;0;0;0;0;0;2;0;1;2;2;2;1;1;0;1;0;0;12
C49   Neopl malig tec conjuntivo e outr tec moles;0;0;0;1;0;0;1;0;0;0;0;1;0;1;2;1;0;0;0;0;0;7
C50   Neopl malig da mama;0;0;0;0;0;1;3;6;9;10;8;11;10;14;17;15;15;7;4;4;0;134
C51   Neopl malig da vulva;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2
C52   Neopl malig da vagina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3
C53   Neopl malig do colo do utero;0;0;0;0;1;1;0;3;0;3;1;4;0;4;2;0;0;0;0;0;0;19
C54   Neopl malig do corpo do utero;0;0;0;0;0;0;0;0;0;0;2;1;1;3;2;2;0;2;0;0;0;13
C55   Neopl malig do utero porcao NE;0;0;0;0;0;0;1;0;1;1;1;3;2;0;1;0;1;0;0;0;0;11
C56   Neopl malig do ovario;0;0;0;0;0;0;0;1;1;0;3;3;1;4;2;1;0;0;1;0;0;17
C57   Neopl malig outr org genitais femin e NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
C64   Neopl malig do rim exceto pelve renal;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;1;3;1;0;0;0;11
C67   Neopl malig da bexiga;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;2;1;2;0;0;10
C71   Neopl malig do encefalo;0;1;0;0;0;0;1;0;1;3;0;0;2;3;2;2;0;1;1;0;0;17
C72   Neop mal med esp nerv cran out sist nerv cen;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;5
C73   Neopl malig da gland tireoide;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;1;0;0;0;6
C74   Neopl malig da gland supra-renal;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2
C76   Neopl malig outr localiz e mal definidas;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;4;1;0;0;12
C78   Neopl malig secund org respirat e digestivos;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;3
C79   Neopl malig secund de outr localiz;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2
C80   Neopl malig s/especificacao de localiz;0;0;0;0;0;1;0;0;0;1;0;1;2;5;4;2;1;2;0;1;0;20
C83   Linfoma nao-Hodgkin difuso;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;0;0;0;0;0;1;0;1;0;0;1;2;1;0;2;2;0;1;0;0;0;11
C90   Mieloma mult e neopl malig de plasmocitos;0;0;0;0;0;0;0;0;0;0;0;1;1;4;3;2;0;1;0;0;0;12
C91   Leucemia linfoide;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;2;0;0;0;7
C92   Leucemia mieloide;0;0;0;1;0;0;0;0;1;2;0;0;1;1;2;1;1;1;0;0;0;11
C94   Outr leucemias de celulas de tipo espec;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
C96   Outr neopl mal e NE tec linf hematop e corr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
D21   Outr neopl benig tec conj e outr tec moles;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
D25   Leiomioma do utero;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2
D32   Neopl benig das meninges;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4
D37   Neopl comp incerto/desc cav oral e org dig;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
D38   Neopl comp inc/desc ouv med org resp intrat;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
D46   Sindr mielodisplasicas;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;3
D47   Out neop comp inc/des tec linf hemat tec cor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
D53   Outr anemias nutricionais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
D57   Transt falciformes;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
D59   Anemia hemolitica adquir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
D60   Aplasia pura da serie vermelha adquir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
D61   Outr anemias aplasticas;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;6
D64   Outr anemias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;3
D68   Outr defeitos da coagulacao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
D70   Agranulocitose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
D73   Doenc do baco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
D75   Outr doenc sangue e orgaos hematopoeticos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
D84   Outr imunodeficiencias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
E03   Outr hipotireoidismos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
E10   Diabetes mellitus insulino-dependente;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;5
E11   Diabetes mellitus nao-insulino-dependemte;0;0;0;0;0;0;0;0;0;1;1;1;2;1;3;2;2;3;3;1;0;20
E14   Diabetes mellitus NE;0;0;0;0;0;0;0;2;1;0;1;7;7;4;10;5;16;12;9;2;1;77
E16   Outr transt da secrecao pancreatica interna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
