Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;
Sexo: Feminino;;;;;;;;;;;;;;;;;;;;;;
Período:2021;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Total
A04   Outr infecc intestinais bacter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;3;2;2;0;0;10
A15   Tuberc respirat c/conf bacteriol e histolog;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;3
A18   Tuberc de outr orgaos;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
A39   Infecc meningogocica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
A41   Outr septicemias;1;0;0;0;0;0;1;1;2;1;2;3;4;2;6;2;6;7;9;2;0;49
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;2;3;0;1;10
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
A49   Infecc bacter de localiz NE;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
A98   Outr febres hemorragicas p/virus NCOP;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B00   Infecc p/virus do herpes;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;3
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;2;2;3;0;2;3;2;1;0;0;1;0;0;0;0;0;0;16
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B24   Doenc p/HIV NE;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;3
B34   Doenc p/virus de localiz NE;0;0;1;3;6;14;15;34;49;60;87;128;159;159;179;147;144;117;88;26;6;1422
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;5;6;3;1;0;0;19
B90   Sequelas de tuberc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
B94   Sequelas de outr doenc infecc e parasit e NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2
B99   Doenc infecc outr e as NE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;3
C08   Neopl malig outr gland saliv maiores e NE;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;3
C11   Neopl malig da nasofaringe;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
