Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Feminino
Período:2014
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Total"
"A08   Infecc intestinais virais outr e as NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"A09   Diarreia e gastroenterite orig infecc presum";1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;4;3;1;0;13
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"A37   Coqueluche";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A41   Outr septicemias";2;0;0;0;0;0;0;0;0;1;1;1;5;1;2;4;7;1;5;1;0;31
"A46   Erisipela";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0;5
"A49   Infecc bacter de localiz NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"A86   Encefalite viral NE";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"A90   Dengue";0;0;0;0;0;0;0;1;0;1;0;2;0;3;0;0;1;0;0;0;0;8
"B01   Varicela";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B02   Herpes zoster";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"B16   Hepatite aguda B";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;0;2;1;0;3;4;0;0;0;1;0;0;0;11
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;0;0;0;1;3;3;2;1;0;1;0;0;0;1;0;0;0;0;12
"B21   Doenc p/HIV result em neopl malig";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;6
"B24   Doenc p/HIV NE";0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;4
"B57   Doenc de Chagas";0;0;0;0;0;0;0;1;0;0;1;1;0;3;2;1;2;1;0;0;0;12
"B65   Esquistossomose";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"B90   Sequelas de tuberc";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"C01   Neopl malig da base da lingua";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"C03   Neopl malig da gengiva";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"C06   Neopl malig outr partes e partes NE da boca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"C10   Neopl malig da orofaringe";0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;4
"C14   Neop mal out loc mal def labio cav oral far";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"C15   Neopl malig do esofago";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;4
"C16   Neopl malig do estomago";0;0;0;0;0;0;0;0;3;1;0;3;3;1;5;8;3;4;6;0;0;37
"C17   Neopl malig do intestino delgado";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;4
"C18   Neopl malig do colon";0;0;0;0;0;1;0;0;1;4;6;7;10;6;5;3;5;4;5;1;0;58
"C19   Neopl malig da juncao retossigmoide";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;3
"C20   Neopl malig do reto";0;0;0;0;0;0;0;0;1;1;1;2;3;2;1;0;1;2;2;0;0;16
"C22   Neopl malig figado vias biliares intra-hepat";0;0;0;0;0;0;1;0;0;1;2;1;4;2;3;3;1;2;1;0;0;21
"C23   Neopl malig da vesicula biliar";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;4
"C24   Neopl malig outr partes e NE vias biliares";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;1;0;0;0;6
"C25   Neopl malig do pancreas";0;0;0;0;0;0;0;1;3;1;3;2;3;4;6;7;8;4;2;0;0;44
"C26   Neopl malig outr mal def aparelho digestivo";0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;2;0;0;0;6
"C30   Neopl malig cavidade nasal e do ouvido medio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"C32   Neopl malig da laringe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"C34   Neopl malig dos bronquios e dos pulmoes";0;0;0;0;0;0;0;0;0;1;7;6;12;7;12;5;4;4;3;1;0;62
"C38   Neopl malig do coracao mediastino e pleura";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4
"C43   Melanoma malig da pele";0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;2;1;0;0;0;7
"C44   Outr neopl malig da pele";0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;6
"C47   Neopl malig nervos perif e sist nerv autonom";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"C48   Neopl malig tec moles retro- e peritonio";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3
"C49   Neopl malig tec conjuntivo e outr tec moles";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;4
"C50   Neopl malig da mama";0;0;0;0;0;0;3;4;4;7;13;13;14;14;12;9;8;4;4;0;1;110
"C51   Neopl malig da vulva";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"C52   Neopl malig da vagina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
"C53   Neopl malig do colo do utero";0;0;0;0;0;0;1;0;1;1;3;3;3;2;2;0;0;1;0;0;0;17
"C54   Neopl malig do corpo do utero";0;0;0;0;0;0;0;0;0;0;1;0;2;1;2;2;1;2;0;0;0;11
"C55   Neopl malig do utero porcao NE";0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;4
"C56   Neopl malig do ovario";0;0;0;0;0;0;0;1;1;3;1;3;4;5;4;3;4;1;0;0;0;30
"C64   Neopl malig do rim exceto pelve renal";0;0;0;0;1;0;0;0;0;0;3;0;0;2;1;3;1;1;0;0;0;12
"C67   Neopl malig da bexiga";0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;5;0;0;0;0;0;11
"C69   Neopl malig do olho e anexos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"C71   Neopl malig do encefalo";1;0;0;0;0;1;1;4;1;1;2;4;1;4;6;0;2;1;0;0;0;29
"C72   Neop mal med esp nerv cran out sist nerv cen";0;0;0;0;1;0;0;1;0;0;2;0;0;1;0;2;0;0;0;0;0;7
"C73   Neopl malig da gland tireoide";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2
"C75   Neopl malig outr gland endocrinas estr relac";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C76   Neopl malig outr localiz e mal definidas";0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;6
"C78   Neopl malig secund org respirat e digestivos";0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;2;1;1;0;0;10
"C79   Neopl malig secund de outr localiz";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"C80   Neopl malig s/especificacao de localiz";0;0;0;0;0;0;1;1;0;1;1;1;1;2;3;2;1;2;2;0;0;18
"C81   Doenc de Hodgkin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"C83   Linfoma nao-Hodgkin difuso";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";0;0;0;1;0;0;1;0;0;0;4;1;3;4;2;3;2;2;0;0;0;23
"C90   Mieloma mult e neopl malig de plasmocitos";0;0;0;0;0;0;0;0;1;1;1;2;3;3;1;3;1;3;0;0;0;19
"C91   Leucemia linfoide";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;6
"C92   Leucemia mieloide";0;0;1;0;0;0;1;1;0;2;2;0;0;1;2;0;3;0;0;0;0;13
"C95   Leucemia de tipo celular NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3
"D32   Neopl benig das meninges";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"D33   Neopl benig encef e out part sist nerv centr";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"D38   Neopl comp inc/desc ouv med org resp intrat";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"D45   Policitemia vera";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"D46   Sindr mielodisplasicas";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3;0;0;0;6
"D47   Out neop comp inc/des tec linf hemat tec cor";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;3
"D53   Outr anemias nutricionais";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"D57   Transt falciformes";0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3
"D61   Outr anemias aplasticas";0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
"D64   Outr anemias";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"D68   Outr defeitos da coagulacao";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2
"D69   Purpura e outr afeccoes hemorragicas";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"D70   Agranulocitose";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"D73   Doenc do baco";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
