 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2011
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;9;16
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"A39   Infecc meningogocica";-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;4
"A41   Outr septicemias";-;-;2;1;-;-;-;2;-;-;-;-;1;1;2;1;1;3;7;17;38
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;5
"A49   Infecc bacter de localiz NE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;3;2;1;10
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;1;1;-;-;-;-;-;4;4;2;1;1;-;-;-;-;1;-;15
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;4
