 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2020
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;4
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;10;14
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;3
"A39   Infecc meningogocica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A41   Outr septicemias";-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;4;3;3;6;11;31
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;6;9
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
"A87   Meningite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;1;5
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"B34   Doenc p/virus de localiz NE";-;-;-;-;1;-;-;1;5;6;7;8;15;33;38;63;91;83;79;234;664
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;1;3;4;4;4;20
"B67   Equinococose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;1;1;1;7
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;-;1;1;3;4;3;2;5;3;3;3;28
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;4
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;-;1;1;6;5;9;9;9;5;17;62
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;-;3;1;-;1;6;5;2;3;7;28
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3;1;5;3;8;22
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;1;2;-;1;4;14
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;1;-;-;-;-;3;4;6;8;10;5;12;49
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;4;-;4;2;4;19
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;2;6
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;-;-;-;1;5;3;7;12;8;11;16;14;77
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;3
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;2;5
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;2;-;-;3;12
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7;8
"C45   Mesotelioma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;3;5
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;3
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;1;2;-;9;6;9;13;14;18;12;10;28;122
"C51   Neopl malig da vulva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;-;2;1;4;-;3;5;2;1;1;2;1;4;26
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;1;-;1;-;1;1;3;4;2;-;1;5;19
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;3;3;11
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;-;1;-;-;-;1;2;6;3;3;2;4;2;24
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;1;-;5
"C66   Neopl malig dos ureteres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;4;7
"C71   Neopl malig do encefalo";-;-;-;-;1;-;-;-;-;1;1;-;2;1;2;6;2;4;4;2;26
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3;5
"C74   Neopl malig da gland supra-renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;-;1;-;3;9
"C77   Neopl malig secund e NE gangl linfaticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;-;1;-;1;-;-;2;4;1;5;2;4;7;27
"C81   Doenc de Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;-;3;1;5;13
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;3;3;1;10;21
"C91   Leucemia linfoide";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;4;8
"C92   Leucemia mieloide";-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;2;2;2;4;13
"C95   Leucemia de tipo celular NE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2;-;-;2;6
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"D27   Neopl benig do ovario";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D32   Neopl benig das meninges";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"D33   Neopl benig encef e out part sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D37   Neopl comp incerto/desc cav oral e org dig";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"D38   Neopl comp inc/desc ouv med org resp intrat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"D42   Neopl comp incerto/desconhecido meninges";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"D43   Neopl comp inc/desc encefalo sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"D46   Sindr mielodisplasicas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;3;8
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"D48   Neopl comp inc/desconh outr localiz e NE";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;3
"D61   Outr anemias aplasticas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;4
"D62   Anemia aguda pos-hemorragica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D64   Outr anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"D68   Outr defeitos da coagulacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;4
"D69   Purpura e outr afeccoes hemorragicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"D75   Outr doenc sangue e orgaos hematopoeticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"D84   Outr imunodeficiencias";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"E03   Outr hipotireoidismos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;4
"E05   Tireotoxicose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"E10   Diabetes mellitus insulino-dependente";-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;1;1;-;-;1;8
"E11   Diabetes mellitus nao-insulino-dependemte";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;4;5;3;4;9;27
"E14   Diabetes mellitus NE";-;-;-;-;-;-;-;1;-;1;-;2;2;5;6;10;8;17;17;44;113
"E43   Desnutric proteico-calorica grave NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"E46   Desnutric proteico-calorica NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"E66   Obesidade";-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;2;1;3;10
"E78   Disturbios metab lipoproteinas e out lipidem";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3;5
"E84   Fibrose cistica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
