 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2017
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;9;12
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
"A39   Infecc meningogocica";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A41   Outr septicemias";-;-;-;-;1;-;-;-;1;-;-;1;-;3;-;1;3;4;4;21;39
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7;8
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;4
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
"A86   Encefalite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;-;-;5
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;-;1;2;3;-;1;-;2;-;-;-;9
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;3
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B49   Micose NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
