 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2015
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A09   Diarreia e gastroenterite orig infecc presum";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;7;12
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"A32   Listeriose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A41   Outr septicemias";-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;1;4;5;7;14;36
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;5
"A49   Infecc bacter de localiz NE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A63   Outr doenc de transm predom sexual NCOP";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A90   Dengue";-;-;-;-;-;-;-;-;1;-;1;1;2;3;-;-;1;1;1;4;15
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;-;-;6
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;2;-;2;2;5;1;-;-;-;-;-;12
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"B37   Candidiase";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"B49   Micose NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3;6;12
"B58   Toxoplasmose";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;3
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;6
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;-;2;-;-;1;5;4;2;4;4;9;31
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;3
"C18   Neopl malig do colon";-;-;-;-;-;-;-;1;-;1;-;1;3;3;5;8;6;2;4;18;52
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;1;5
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;1;-;-;3;2;3;1;-;2;4;5;21
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;4;1;2;1;4;17
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;4
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;5
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;1;2;2;2;3;6;3;4;7;8;38
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;2;-;2;1;9
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;1;-;-;-;3;11;17;7;11;12;12;11;85
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;3;-;1;9
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;2;5
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;1;3;5;2;7;14;15;13;10;8;7;26;111
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;-;1;1;-;-;4;3;1;2;-;-;1;1;14
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;2;7;1;3;2;20
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;5
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;-;-;-;-;2;2;1;1;3;5;3;1;7;25
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;3;3;2;12
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;2;5
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C71   Neopl malig do encefalo";-;-;-;1;-;-;-;-;-;1;-;-;2;3;3;-;5;1;4;3;23
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;3
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;3
"C74   Neopl malig da gland supra-renal";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;2;3;9
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;1;1;6
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;2;1;6;13
"C81   Doenc de Hodgkin";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C84   Linfomas de celulas T cutaneas e perifericas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;1;1;4;2;12
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;-;3;3;12
"C91   Leucemia linfoide";-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;-;-;1;1;6
"C92   Leucemia mieloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;2;3;9
"C95   Leucemia de tipo celular NE";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;4
"C96   Outr neopl mal e NE tec linf hematop e corr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D35   Neopl benig de outr gland endocrinas e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"D46   Sindr mielodisplasicas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;3
"D53   Outr anemias nutricionais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"D57   Transt falciformes";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
"D64   Outr anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4
"D68   Outr defeitos da coagulacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"D69   Purpura e outr afeccoes hemorragicas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"D75   Outr doenc sangue e orgaos hematopoeticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"E03   Outr hipotireoidismos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"E05   Tireotoxicose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"E10   Diabetes mellitus insulino-dependente";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E11   Diabetes mellitus nao-insulino-dependemte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;1;10;16
"E14   Diabetes mellitus NE";-;-;-;-;-;-;-;-;-;-;1;-;4;1;2;7;7;5;10;37;74
"E41   Marasmo nutricional";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"E43   Desnutric proteico-calorica grave NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"E46   Desnutric proteico-calorica NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7;9
"E66   Obesidade";-;-;-;-;-;-;1;-;-;-;-;2;2;-;2;-;-;1;2;2;12
"E72   Outr disturbios metabolismo de aminoacidos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"E75   Disturb metab esfingolip e outr depos lipid";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E78   Disturbios metab lipoproteinas e out lipidem";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;4;6
"E85   Amiloidose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"E87   Outr transt equil hidroeletr e acido-basic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"E88   Outr disturbios metabolicos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"F03   Demencia NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"F19   Transt ment comp mult drog out subst psicoat";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"F20   Esquizofrenia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"F32   Episodios depressivos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"G00   Meningite bacter NCOP";-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;5
"G04   Encefalite mielite e encefalomielite";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"G11   Ataxia hereditaria";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"G12   Atrofia muscular espinal e sindr correlatas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;4
"G20   Doenc de Parkinson";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;15;18
"G30   Doenc de Alzheimer";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;5;10;73;90
"G31   Outr doenc degenerativas sist nervoso NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;38;43
"G35   Esclerose mult";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"G37   Outr doenc desmielinizantes sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"G40   Epilepsia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2
"G41   Estado de mal epileptico";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G62   Outr polineuropatias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"G80   Paralisia cerebral";-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;4
"G91   Hidrocefalia";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"G95   Outr doenc da medula espinal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"I10   Hipertensao essencial";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;1;13;19
"I11   Doenc cardiaca hipertensiva";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;1;4;3;18;30
"I12   Doenc renal hipertensiva";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;6;9
"I13   Doenc cardiaca e renal hipertensiva";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;2;2;9
"I20   Angina pectoris";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"I21   Infarto agudo do miocardio";-;-;-;-;-;-;-;-;1;1;2;8;11;15;23;21;35;29;38;110;294
"I24   Outr doenc isquemicas agudas do coracao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;4
"I25   Doenc isquemica cronica do coracao";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;4;6;25;40
"I26   Embolia pulmonar";-;-;-;-;-;-;-;2;-;1;-;1;1;2;4;1;2;4;2;12;32
"I27   Outr form de doenc cardiaca pulmonar";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;1;-;5;10
"I31   Outr doenc do pericardio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"I33   Endocardite aguda e subaguda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"I34   Transt nao-reumaticos da valva mitral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;1;5
"I35   Transt nao-reumaticos da valva aortica";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;6;10
"I38   Endocardite de valva NE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;4
"I42   Cardiomiopatias";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3;3;1;7;12;29
"I44   Bloqueio atrioventricular e do ramo esquerdo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"I48   Flutter e fibrilacao atrial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;6;10
"I49   Outr arritmias cardiacas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;14;17
"I50   Insuf cardiaca";-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;3;7;8;51;73
"I51   Complic cardiopatias doenc cardiacas mal def";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;4
"I60   Hemorragia subaracnoide";-;-;-;-;-;-;-;-;-;-;1;1;3;3;2;4;2;3;1;6;26
"I61   Hemorragia intracerebral";-;-;-;-;-;-;-;-;1;-;2;2;4;5;7;6;4;3;12;16;62
"I62   Outr hemorragias intracranianas nao-traum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"I63   Infarto cerebral";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;3
"I64   Acid vasc cerebr NE como hemorrag isquemico";-;-;-;-;-;-;-;-;-;1;-;-;2;-;2;2;4;7;7;42;67
"I67   Outr doenc cerebrovasculares";-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;5;5;10;7;36;67
"I69   Sequelas de doenc cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;1;7;11;39;62
"I71   Aneurisma e disseccao da aorta";-;-;-;-;-;-;-;-;-;-;-;-;2;3;2;2;7;2;4;9;31
"I72   Outr aneurismas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;3
"I73   Outr doenc vasculares perifericas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;7
"I74   Embolia e trombose arteriais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;3
"I77   Outr afeccoes das arterias e arteriolas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;6
"I80   Flebite e tromboflebite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4
"I83   Varizes dos membros infer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"I85   Varizes esofagianas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"I89   Outr transt nao-infecc vasos linf gangl linf";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"J03   Amigdalite aguda";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"J06   Infecc agudas vias aereas super loc mult NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"J12   Pneumonia viral NCOP";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"J15   Pneumonia bacter NCOP";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;17;25
"J18   Pneumonia p/microorg NE";-;-;1;1;-;1;1;-;-;3;2;1;2;3;3;4;11;13;23;196;265
"J21   Bronquiolite aguda";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;1;5
"J39   Outr doenc das vias aereas super";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"J42   Bronquite cronica NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"J43   Enfisema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;4
"J44   Outr doenc pulmonares obstrutivas cronicas";-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;5;19;17;26;56;130
"J45   Asma";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;1;2;7
"J46   Estado de mal asmatico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"J47   Bronquectasia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"J69   Pneumonite dev solidos e liquidos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9;10
"J81   Edema pulmonar NE de outr form";-;-;-;-;-;-;-;-;-;1;-;-;2;1;3;1;3;3;5;13;32
"J84   Outr doenc pulmonares intersticiais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;4;7;18
"J90   Derrame pleural NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;4
"J94   Outr afeccoes pleurais";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"J96   Insuf respirat NCOP";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;3;6
"J98   Outr transt respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;8;14
"K12   Estomatite e lesoes correlatas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"K22   Outr doenc do esofago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;3
"K25   Ulcera gastrica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"K26   Ulcera duodenal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"K29   Gastrite e duodenite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"K35   Apendicite aguda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"K40   Hernia inguinal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"K43   Hernia ventral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"K46   Hernia abdominal NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4
"K51   Colite ulcerativa";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;3
"K52   Outr gastroenterites e colites nao-infecc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"K55   Transt vasculares do intestino";-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;2;1;1;8;17
"K56   Ileo paralitico e obstr intestinal s/hernia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;7;9
"K57   Doenc diverticular do intestino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;5;7
"K62   Outr doenc do reto e do anus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"K63   Outr doenc do intestino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;4
"K65   Peritonite";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;4;7
"K66   Outr transt do peritonio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"K70   Doenc alcoolica do figado";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;2;-;-;-;5
"K71   Doenc hepatica toxica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"K72   Insuf hepatica NCOP";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;4
"K74   Fibrose e cirrose hepaticas";-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;1;-;1;3;4;14
"K75   Outr doenc inflam do figado";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;4
"K76   Outr doenc do figado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"K80   Colelitiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;1;5
"K81   Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;4
"K83   Outr doenc das vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;3;7
"K85   Pancreatite aguda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;4
"K92   Outr doenc do aparelho digestivo";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;4;9
"L03   Celulite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"L08   Outr infecc localiz pele e tec subcutaneo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"L10   Penfigo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"L89   Ulcera de decubito";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;7;9
"L93   Lupus eritematoso";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"L97   Ulcera dos membros infer NCOP";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"M00   Artrite piogenica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"M06   Outr artrites reumatoides";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"M16   Coxartrose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;4
