 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2016
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;7;11
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"A39   Infecc meningogocica";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A40   Septicemia estreptococica";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A41   Outr septicemias";-;-;2;-;-;-;-;-;1;-;1;-;1;1;2;4;1;2;5;18;38
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;4
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;4
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;1;1;3;1;11
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;1;2;2;6;4;2;1;2;1;-;-;21
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;3
"B27   Mononucleose infecc";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;7;12
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;3
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;3;1;3;13
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;2;5;2;3;12;29
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;4;8;8;7;13;45
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;-;5
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;-;-;5;1;1;1;-;1;2;5;16
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4;-;8;5;7;28
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;2;-;6
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;3;7
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;7;8;4;7;6;38
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;1;1;7;14
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;-;-;-;2;-;5;5;8;10;11;11;10;62
"C37   Neopl malig do timo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C40   Neopl malig ossos/cartilag artic membros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;3;1;8
"C44   Outr neopl malig da pele";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;3
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;1;1;4;8;7;10;16;9;6;8;6;21;97
"C52   Neopl malig da vagina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;1;2;1;-;9
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;2;3;2;4;3;19
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;3;1;2;10
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;5;3;3;3;4;22
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;-;1;4;10
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;4;8
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
"C69   Neopl malig do olho e anexos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C70   Neopl malig das meninges";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C71   Neopl malig do encefalo";-;-;-;2;-;-;-;-;1;1;1;1;1;2;2;4;5;4;6;2;32
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;3;7
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;4
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;1;-;-;-;-;-;4;2;1;4;3;3;6;24
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C84   Linfomas de celulas T cutaneas e perifericas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;2;1;1;2;1;10
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4;2;3;2;5;20
"C91   Leucemia linfoide";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;2;6
"C92   Leucemia mieloide";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;3;4;2;3;16
"C95   Leucemia de tipo celular NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
"D13   Neopl benig outr part e mal def ap digestivo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D32   Neopl benig das meninges";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3
"D43   Neopl comp inc/desc encefalo sist nerv centr";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"D45   Policitemia vera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
