 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2019
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;2;1;4;13;23
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A39   Infecc meningogocica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A41   Outr septicemias";-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;2;12;19
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;5;7
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"A77   Febre maculosa";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;3
"A86   Encefalite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A90   Dengue";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;5
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;3;2;3;3;9;24
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;4
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;2
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;1;1;6
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;1;3;1;3;3;3;2;3;3;8;10;40
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;1;3;6;6;5;8;8;16;14;18;85
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;4
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;-;1;1;3;1;2;3;1;4;5;21
