 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2012
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A05   Outr intox alimentares bacter NCOP";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;1;3;-;4;12
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A39   Infecc meningogocica";-;-;-;1;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;5
"A41   Outr septicemias";-;-;1;-;-;-;-;-;-;-;-;-;2;-;2;-;3;3;4;14;29
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3
"A86   Encefalite viral NE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;1;2;5;13
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;2;4;2;5;1;-;-;-;-;-;-;14
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;4;8
"B87   Miiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;3
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;3
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;-;2;-;4;2;2;1;4;4;5;9;33
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;1;1;3;4;4;4;3;12;3;14;49
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;3;2;3;11
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;3;5;7;4;23
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;5;8
