 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2013
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;4
"A19   Tuberc miliar";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A39   Infecc meningogocica";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A40   Septicemia estreptococica";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A41   Outr septicemias";-;-;2;-;-;-;1;-;-;-;1;-;1;-;-;2;2;4;5;21;39
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4;5
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"A50   Sifilis congen";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;1;4
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;2;1;2;4;1;1;-;1;-;1;-;13
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"B37   Candidiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B49   Micose NE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;3;-;3;2;3;15
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;4
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;2;6
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;1;3;-;-;2;2;3;3;4;3;11;32
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;2;6
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;1;-;2;4;5;5;2;4;6;5;18;52
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;-;2;1;1;4;2;1;2;3;4;20
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;1;-;1;-;3;2;-;5;3;5;2;6;28
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;4;2;9
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;2;1;7
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;1;-;1;-;-;3;8;10;3;4;10;40
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;-;1;4;9
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;5
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;1;-;-;1;2;7;10;12;8;5;17;15;78
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C40   Neopl malig ossos/cartilag artic membros";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;3;6
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3;5
"C45   Mesotelioma";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"C47   Neopl malig nervos perif e sist nerv autonom";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;1;-;-;1;1;6
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;1;1;1;2;13;9;12;9;7;13;14;19;101
"C51   Neopl malig da vulva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3
"C52   Neopl malig da vagina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;1;-;2;-;1;1;1;-;2;4;1;2;6;21
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;1;1;4;-;4;15
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;1;3;9
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;-;-;-;1;1;1;4;5;7;1;4;1;9;34
"C57   Neopl malig outr org genitais femin e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;4;-;9
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;4;8
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"C71   Neopl malig do encefalo";-;-;1;-;1;-;2;-;2;2;-;1;1;2;-;-;2;1;1;5;21
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"C74   Neopl malig da gland supra-renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;3
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;2;-;2;8
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;-;2;7
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;4;3;1;1;4;18
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;4;8
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;2;9
"C91   Leucemia linfoide";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"C92   Leucemia mieloide";-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;3;2;3;3;15
"C95   Leucemia de tipo celular NE";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;3
"C96   Outr neopl mal e NE tec linf hematop e corr";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D18   Hemangioma e linfangioma de qualquer localiz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D32   Neopl benig das meninges";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D46   Sindr mielodisplasicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;4
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"D48   Neopl comp inc/desconh outr localiz e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"D50   Anemia p/defic de ferro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D53   Outr anemias nutricionais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D59   Anemia hemolitica adquir";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"D61   Outr anemias aplasticas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D64   Outr anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D65   Coagulacao intravascular disseminada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"D68   Outr defeitos da coagulacao";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;4
"D69   Purpura e outr afeccoes hemorragicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"E03   Outr hipotireoidismos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"E10   Diabetes mellitus insulino-dependente";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;5
"E11   Diabetes mellitus nao-insulino-dependemte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;9;12
"E12   Diabetes mellitus relac c/a desnutr";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;3
"E14   Diabetes mellitus NE";-;-;-;-;-;-;-;-;-;-;-;2;-;2;4;2;6;10;9;41;76
"E16   Outr transt da secrecao pancreatica interna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"E41   Marasmo nutricional";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"E43   Desnutric proteico-calorica grave NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"E46   Desnutric proteico-calorica NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;12;15
"E66   Obesidade";-;-;-;-;-;-;-;1;1;-;-;-;4;1;-;1;1;-;1;-;10
"E72   Outr disturbios metabolismo de aminoacidos";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E78   Disturbios metab lipoproteinas e out lipidem";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3
"E84   Fibrose cistica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"E85   Amiloidose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"E86   Deplecao de volume";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4
"E87   Outr transt equil hidroeletr e acido-basic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"F01   Demencia vascular";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"F03   Demencia NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"F10   Transt mentais comport dev uso alcool";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"F14   Transt mentais e comport dev uso da cocaina";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"F17   Transt mentais e comport dev uso de fumo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"G00   Meningite bacter NCOP";-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;4
