 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2014
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A09   Diarreia e gastroenterite orig infecc presum";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;9;13
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A37   Coqueluche";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A41   Outr septicemias";-;-;1;1;-;-;-;-;-;-;-;-;1;1;1;5;1;2;4;14;31
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;3;5
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A86   Encefalite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A90   Dengue";-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;3;-;-;1;8
"B01   Varicela";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;3;4;-;-;1;11
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;1;3;3;2;1;-;1;-;-;-;1;12
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;1;1;1;3;-;-;-;-;-;-;6
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;4
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;3;2;1;3;12
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;4
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;4
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;-;-;3;1;-;3;3;1;5;8;13;37
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;1;-;-;1;4;6;7;10;6;5;3;15;58
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;3
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;3;2;1;-;5;16
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;4;2;3;3;4;21
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;4
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3;6
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;1;3;1;3;2;3;4;6;7;14;44
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;3;6
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;-;-;-;-;1;8;6;12;7;12;5;12;63
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;4
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;3;7
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;3;6
"C47   Neopl malig nervos perif e sist nerv autonom";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;3
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;4
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;-;3;4;4;7;13;13;14;14;12;9;17;110
"C51   Neopl malig da vulva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C52   Neopl malig da vagina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;-;-;1;-;1;1;3;3;3;2;2;-;1;17
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;2;2;3;11
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;4
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;-;-;-;1;1;3;1;3;4;5;4;3;5;30
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;2;1;3;2;12
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;5;-;11
"C69   Neopl malig do olho e anexos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C71   Neopl malig do encefalo";-;-;-;1;-;-;-;-;1;1;4;1;1;2;4;1;4;6;-;3;29
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;-;1;-;2;-;7
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;1;-;1;6
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;1;1;4;10
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;-;-;1;1;-;1;1;1;1;2;3;2;5;18
"C81   Doenc de Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;1;-;-;1;-;-;-;4;1;3;4;2;3;4;23
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;3;3;1;3;4;19
